"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.07.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,516602","12.739.875,00","350","57.540.938,68"
"01.07.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,687922","673.712.842,00","3.222","463.462.211,62"
"01.07.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,319408","17.152.733,00","42","56.936.919,21"
"01.07.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,250322","29.287.018,00","274","124.479.252,10"
"01.07.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,022686","232.815.553,00","94","5.281.636,61"
"01.07.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,634751","5.290.990,00","127","13.940.441,63"
"01.07.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,421954","29.470.900,00","186","12.435.357,81"
"01.07.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,057803","342.423.789,57","89","19.793.241,74"
"01.07.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","2,078201","72.823.375,00","30","151.341.582,79"
"01.07.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","10,632593","10.246.686,00","67","108.948.844,24"
"01.07.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","2,231152","24.607.400,00","5","54.902.848,37"
"01.07.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,201282","1.453.149.527,00","27.757","292.492.948,47"
"01.07.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,085701","852.301.911,00","2.296","73.043.458,70"
"01.07.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,885087","6.769.744,00","589","73.689.249,69"
"01.07.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,017458","23.364.148.576,00","9.605","407.881.442,16"
"01.07.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,142623","2.069.373.838,00","8.755","295.139.510,70"
"01.07.2021","AFO","AK PORTFÖY ALTIN FONU","0,108714","7.082.217.647,00","14.329","769.938.939,79"
"01.07.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,059779","8.720.906.421,00","12.961","521.324.360,54"
"01.07.2021","AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","0,107135","19.048.949.085,00","34.527","2.040.813.473,75"
"01.07.2021","AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","0,072541","2.200.950.385,00","4.164","159.658.934,05"
"01.07.2021","AGC","AK PORTFÖY AGI DEĞİŞKEN FON","1,545668","63.167.100,00","843","97.635.386,28"
"01.07.2021","AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","2,087951","11.221.036,00","91","23.428.975,30"
"01.07.2021","AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","10,353701","2.921.273,00","27","30.245.986,70"
"01.07.2021","AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","1,933736","46.614.099,00","546","90.139.360,88"
"01.07.2021","AHV","AZİMUT PYŞ DENGELİ SERBEST FON","2,294463","118.959.590,00","282","272.948.342,91"
"01.07.2021","AHZ","AZİMUT PYŞ ATAK SERBEST FON","2,436597","9.763.620,00","46","23.790.004,20"
"01.07.2021","AIG","AZİMUT PORTFÖY İA SERBEST ÖZEL FON","3,452612","8.254.100,00","10","28.498.204,97"
"01.07.2021","AIH","AK PORTFÖY RTH SERBEST ÖZEL FON","1,323020","78.171.292,00","4","103.422.210,23"
"01.07.2021","AII","AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON","11,925310","6.628.000,00","3","79.040.955,40"
"01.07.2021","AIM","AK PORTFÖY MİMKA SERBEST ÖZEL FON","1,629681","41.902.060,00","4","68.286.970,72"
"01.07.2021","AIR","AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON","21,038036","11.722.950,00","1","246.627.849,86"
"01.07.2021","AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","0,022206","1.251.697.601,00","1.411","27.795.388,09"
"01.07.2021","AJE","AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON","9,646670","181.111,00","1","1.747.118,11"
"01.07.2021","AJK","AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON","10,620702","105.194.040,00","457","1.117.234.519,07"
"01.07.2021","AJL","AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON","8,868341","110.853.322,00","675","983.085.072,83"
"01.07.2021","AJN","AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","9,604038","49.062.757,00","452","471.200.595,70"
"01.07.2021","AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","0,076338","7.617.480.655,00","6.638","581.500.581,29"
"01.07.2021","AKU","AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,082818","598.905.872,00","3.807","49.600.403,03"
"01.07.2021","AK2","AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","0,230796","191.308.607,00","9.953","44.153.282,68"
"01.07.2021","AK3","AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","2,951854","37.109.358,00","1.993","109.541.404,97"
"01.07.2021","ALC","AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,031510","1.441.819.398,00","4.737","45.431.621,61"
"01.07.2021","ALE","AK PORTFÖY PARA PIYASASI FONU","2,576385","1.224.820.926,00","33.710","3.155.609.869,96"
"01.07.2021","ANL","AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU","6,911512","11.020.132,00","3.171","76.165.769,36"
"01.07.2021","ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","3,083696","8.853.015,00","28","27.300.008,15"
"01.07.2021","AN1","STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","9,115711","207.169,54","81","1.888.497,60"
"01.07.2021","AOY","AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU","0,112601","1.489.372.086,00","10.982","167.704.708,70"
"01.07.2021","APJ","AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU","1,693772","111.711.338,00","901","189.213.566,13"
"01.07.2021","APP","AK PORTFÖY P1 SERBEST ÖZEL FON","3,774948","26.880.245,00","2","101.471.516,09"
"01.07.2021","APT","AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU","0,053333","886.807.870,00","11.800","47.296.179,46"
"01.07.2021","ARE","İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU","0,052926","436.127.253,00","1.592","23.082.341,30"
"01.07.2021","ARF","AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON","2,359227","25.361.909,00","12","59.834.504,56"
"01.07.2021","ARL","AK PORTFÖY BİRİNCİ FON SEPETİ FONU","2,461317","1.122.284.518,00","9.396","2.762.298.266,05"
"01.07.2021","ARM","AK PORTFÖY İKİNCİ FON SEPETİ FONU","2,615947","374.535.996,00","3.669","979.766.136,42"
"01.07.2021","ARP","AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","2,468911","140.798.290,00","1","347.618.464,36"
"01.07.2021","ATJ","AZİMUT PORTFÖY ÇINAR SERBEST ÖZEL FON","1,414050","102.489.118,00","2","144.924.764,49"
"01.07.2021","AUT","ATA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","2,567149","582.224,00","20","1.494.655,92"
"01.07.2021","AVC","ATA PORTFÖY İKİNCİ SERBEST FONU","8,547317","1.494.331,00","107","12.772.520,12"
