"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.03.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,350070","20.780.356,00","397","90.396.002,49"
"01.03.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,648853","483.314.085,00","3.452","313.599.902,53"
"01.03.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,354968","22.513.151,00","62","75.530.895,06"
"01.03.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,521192","47.055.023,00","122","212.744.809,35"
"01.03.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,021515","253.585.948,00","100","5.456.026,42"
"01.03.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,725236","5.617.718,00","180","15.309.605,47"
"01.03.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,425821","59.084.080,00","327","25.159.255,11"
"01.03.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,059184","401.935.860,57","79","23.788.122,05"
"01.03.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","1,772081","52.780.166,00","17","93.530.742,45"
"01.03.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","8,944885","10.163.007,00","49","90.906.925,34"
"01.03.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","1,977222","24.631.770,00","5","48.702.476,63"
"01.03.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,190606","1.268.921.989,00","28.129","241.864.641,94"
"01.03.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,095437","408.718.881,00","1.660","39.006.785,59"
"01.03.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,349251","6.974.558,00","582","72.181.450,76"
"01.03.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,012468","23.713.411.404,00","6.443","295.651.915,63"
"01.03.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,107388","1.332.803.073,00","4.070","143.127.131,05"
"01.03.2021","AFO","AK PORTFÖY ALTIN FONU","0,093481","6.232.225.877,00","14.599","582.592.485,59"
"01.03.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,044460","3.765.360.886,00","4.161","167.409.734,24"
"01.03.2021","AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","0,084560","18.559.104.946,00","28.934","1.569.351.958,80"
"01.03.2021","AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","0,056037","1.536.658.202,00","1.680","86.110.217,95"
"01.03.2021","AGC","AK PORTFÖY AGI DEĞİŞKEN FON","1,336828","62.792.024,00","802","83.942.145,20"
"01.03.2021","AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","2,116397","8.753.137,00","90","18.525.111,05"
"01.03.2021","AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","8,722396","2.957.025,00","22","25.792.341,74"
"01.03.2021","AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","1,814938","48.329.781,00","522","87.715.563,61"
"01.03.2021","AHV","AZİMUT PYŞ DENGELİ SERBEST FON","2,171351","110.953.916,00","240","240.919.902,64"
"01.03.2021","AHZ","AZİMUT PYŞ ATAK SERBEST FON","2,351304","12.369.475,00","49","29.084.396,54"
"01.03.2021","AIG","AZİMUT PORTFÖY İA SERBEST ÖZEL FON","2,925147","8.598.970,00","10","25.153.250,87"
"01.03.2021","AIH","AK PORTFÖY RTH SERBEST ÖZEL FON","1,625239","58.716.646,00","4","95.428.581,27"
"01.03.2021","AII","AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON","10,075090","5.438.400,00","3","54.792.370,84"
"01.03.2021","AIM","AK PORTFÖY MİMKA SERBEST ÖZEL FON","1,787857","43.367.680,00","4","77.535.212,92"
"01.03.2021","AIR","AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON","17,465645","10.823.072,00","1","189.031.932,27"
"01.03.2021","AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","0,021116","817.753.923,00","1.330","17.267.925,18"
"01.03.2021","AJE","AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON","8,187605","65.748.168,00","222","538.320.060,93"
"01.03.2021","AJK","AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON","8,842893","107.426.419,00","475","949.960.343,37"
"01.03.2021","AJL","AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON","7,370247","116.681.697,00","724","859.972.912,87"
"01.03.2021","AJN","AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","8,007639","49.717.375,00","457","398.118.792,96"
"01.03.2021","AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","0,065733","7.955.552.435,00","6.354","522.939.085,23"
"01.03.2021","AKU","AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,084884","520.063.170,00","3.861","44.145.225,96"
"01.03.2021","AK2","AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","0,238716","179.183.547,00","10.444","42.773.910,80"
"01.03.2021","AK3","AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","3,015499","81.032.331,00","2.077","244.352.880,61"
"01.03.2021","ALC","AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,029713","1.306.637.080,00","4.182","38.823.680,21"
"01.03.2021","ALE","AK PORTFÖY PARA PIYASASI FONU","2,434603","1.098.109.893,00","31.912","2.673.461.280,68"
"01.03.2021","ANL","AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU","6,526497","11.463.948,00","3.225","74.819.420,17"
"01.03.2021","ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","2,583956","11.813.555,00","18","30.525.711,71"
"01.03.2021","AN1","STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","9,077272","230.481,54","96","2.092.143,67"
"01.03.2021","AOY","AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU","0,101519","1.237.750.789,00","8.775","125.655.801,68"
"01.03.2021","APJ","AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU","1,592756","46.053.129,00","449","73.351.402,67"
"01.03.2021","APP","AK PORTFÖY P1 SERBEST ÖZEL FON","3,252396","26.880.245,00","2","87.425.199,43"
"01.03.2021","APT","AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU","0,051502","953.826.606,00","11.929","49.123.694,92"
"01.03.2021","ARE","İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU","0,044169","327.885.944,00","1.242","14.482.408,84"
"01.03.2021","ARF","AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON","2,216380","26.041.489,00","16","57.717.834,18"
