"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"04.01.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,312642","18.093.535,00","400","78.030.946,20"
"04.01.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,633169","346.188.685,00","3.072","219.196.030,33"
"04.01.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,169202","23.553.234,00","68","74.644.959,26"
"04.01.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,529701","38.389.606,00","56","173.893.438,11"
"04.01.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,021036","273.939.480,00","102","5.762.486,66"
"04.01.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,564705","5.474.132,00","166","14.039.534,95"
"04.01.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,414766","46.517.320,00","178","19.293.810,73"
"04.01.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,058630","398.813.248,57","66","23.382.223,25"
"04.01.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","1,710658","60.977.521,00","13","104.311.696,01"
"04.01.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","8,759874","13.680.640,00","63","119.840.679,18"
"04.01.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","1,955575","24.657.182,00","5","48.218.970,03"
"04.01.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,186355","1.294.670.959,00","28.454","241.268.969,33"
"04.01.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,109698","510.426.920,00","1.862","55.992.646,76"
"04.01.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,186157","5.380.553,00","598","54.807.157,51"
"04.01.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,010089","32.441.043.266,00","6.948","327.298.231,48"
"04.01.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,104448","1.368.993.590,00","4.019","142.988.859,45"
"04.01.2021","AFO","AK PORTFÖY ALTIN FONU","0,100270","7.773.879.420,00","15.115","779.488.876,06"
"04.01.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,042690","2.690.358.265,00","2.405","114.850.077,26"
"04.01.2021","AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","0,083104","19.396.595.529,00","27.345","1.611.931.482,00"
"04.01.2021","AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","0,056907","1.645.482.721,00","1.648","93.640.059,61"
"04.01.2021","AGC","AK PORTFÖY AGI DEĞİŞKEN FON","1,350913","90.102.256,00","1.077","121.720.266,96"
"04.01.2021","AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","2,112483","8.683.999,00","81","18.344.804,27"
"04.01.2021","AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","8,600824","4.594.997,00","25","39.520.761,59"
"04.01.2021","AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","1,765820","31.777.300,00","272","56.113.006,61"
"04.01.2021","AHV","AZİMUT PYŞ DENGELİ SERBEST FON","2,105506","82.420.499,00","203","173.536.868,65"
"04.01.2021","AHZ","AZİMUT PYŞ ATAK SERBEST FON","2,287388","8.844.875,00","33","20.231.664,68"
"04.01.2021","AIG","AZİMUT PORTFÖY İA SERBEST ÖZEL FON","2,941551","8.598.970,00","10","25.294.306,92"
"04.01.2021","AIH","AK PORTFÖY RTH SERBEST ÖZEL FON","1,861238","58.931.737,00","4","109.686.005,12"
"04.01.2021","AII","AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON","9,609808","5.438.400,00","3","52.261.978,39"
"04.01.2021","AIM","AK PORTFÖY MİMKA SERBEST ÖZEL FON","2,003349","43.543.576,00","4","87.232.987,54"
"04.01.2021","AIR","AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON","10,486582","15.742,00","1","165.079,77"
"04.01.2021","AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","0,020670","827.158.007,00","1.320","17.097.610,75"
"04.01.2021","AJE","AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON","8,233416","67.080.866,00","232","552.304.688,36"
"04.01.2021","AJK","AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON","8,664629","111.896.941,00","499","969.545.426,81"
"04.01.2021","AJL","AK PORTFÖY BEŞİNCİ SERBEST (DÖVIZ) FON","7,246485","123.650.129,00","777","896.028.863,47"
"04.01.2021","AJN","AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","7,978675","52.771.156,00","477","421.043.900,73"
"04.01.2021","AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","0,067219","8.156.409.966,00","6.843","548.269.443,62"
