"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.04.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,373821","19.886.826,00","401","86.981.416,61"
"01.04.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,658131","481.465.427,69","3.694","316.867.533,78"
"01.04.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,398557","21.082.198,00","56","71.649.043,87"
"01.04.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,354486","40.461.443,00","197","176.188.795,68"
"01.04.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,021778","248.066.553,00","95","5.402.513,78"
"01.04.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,670199","5.603.974,00","159","14.963.725,93"
"01.04.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,407289","48.507.677,00","305","19.756.645,84"
"01.04.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,056088","415.311.285,57","80","23.294.122,12"
"01.04.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","1,903905","50.127.332,00","16","95.437.688,49"
"01.04.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","9,323938","9.862.033,00","53","91.952.980,24"
"01.04.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","2,052066","24.631.770,00","5","50.546.029,61"
"01.04.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,193127","1.278.366.530,00","28.088","246.886.789,78"
"01.04.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,076789","528.728.841,00","1.888","40.600.301,26"
"01.04.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,695349","6.402.839,00","574","68.480.595,66"
"01.04.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,013847","21.233.795.267,00","6.579","294.020.724,20"
"01.04.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,126097","1.534.764.502,00","5.287","193.528.668,40"
"01.04.2021","AFO","AK PORTFÖY ALTIN FONU","0,099976","7.241.570.482,00","14.344","723.981.299,15"
"01.04.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,050284","4.552.809.493,00","4.909","228.931.445,43"
"01.04.2021","AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","0,095151","17.309.483.255,00","27.705","1.647.015.821,60"
"01.04.2021","AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","0,064978","1.607.228.793,00","2.168","104.434.942,78"
"01.04.2021","AGC","AK PORTFÖY AGI DEĞİŞKEN FON","1,469864","61.835.613,00","826","90.889.963,65"
