"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"10.03.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,453035","20.301.702,00","0","90.404.199,19"
"10.03.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,651483","407.028.025,00","0","265.171.692,73"
"10.03.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,342224","22.452.182,00","0","75.040.217,76"
"10.03.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,778377","43.844.399,00","0","209.505.083,92"
"10.03.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,021587","253.585.948,00","0","5.474.231,43"
"10.03.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,756043","5.606.025,00","334","15.450.446,90"
"10.03.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,437327","55.773.131,00","340","24.391.108,10"
"10.03.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,061618","413.870.775,57","82","25.502.082,05"
"10.03.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","1,796286","52.738.571,00","15","94.733.539,32"
"10.03.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","9,105340","9.845.433,00","70","89.646.013,31"
"10.03.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","2,007195","24.631.770,00","6","49.440.764,64"
"10.03.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,191304","1.266.955.218,00","0","242.373.541,96"
"10.03.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,096649","406.679.225,00","0","39.305.022,90"
"10.03.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,669024","6.910.162,00","0","73.724.682,77"
"10.03.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,013476","22.489.516.736,00","2.828","303.077.280,03"
"10.03.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,113141","1.328.222.139,00","1.656","150.276.145,41"
"10.03.2021","AFO","AK PORTFÖY ALTIN FONU","0,092534","6.985.355.300,00","12.849","646.379.801,45"
"10.03.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,045558","3.992.596.539,00","1.552","181.893.225,12"
"10.03.2021","AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","0,086582","18.304.678.938,00","10.761","1.584.851.204,15"
"10.03.2021","AFV","AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU","0,059087","1.528.827.590,00","714","90.333.155,58"
"10.03.2021","AGC","AK PORTFÖY AGI DEĞİŞKEN FON","1,364660","62.680.265,00","554","85.537.242,43"
"10.03.2021","AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","2,239609","9.293.336,00","87","20.813.434,47"
"10.03.2021","AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","9,016819","2.891.373,00","22","26.070.987,62"
"10.03.2021","AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","1,823105","47.464.855,00","533","86.533.404,38"
"10.03.2021","AHV","AZİMUT PYŞ DENGELİ SERBEST FON","2,182649","110.027.443,00","0","240.151.342,10"
"10.03.2021","AHZ","AZİMUT PYŞ ATAK SERBEST FON","2,399333","12.159.475,00","0","29.174.634,49"
"10.03.2021","AIG","AZİMUT PORTFÖY İA SERBEST ÖZEL FON","2,977288","8.598.970,00","6","25.601.607,56"
"10.03.2021","AIH","AK PORTFÖY RTH SERBEST ÖZEL FON","1,705199","58.716.646,00","0","100.123.559,38"
"10.03.2021","AII","AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON","10,367988","5.438.400,00","0","56.385.266,26"
