x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
0.036774,0.03679,0.036799964,1.6000122e-05,2.5965273e-05,True,True,True,0.999900853929221,5.440942e-05
0.032357,0.032354,0.032376945,-2.9988587e-06,1.9945204e-05,False,True,False,0.999900853929221,5.440942e-05
0.02829,0.028314,0.028306043,2.4000183e-05,1.6042963e-05,True,True,True,0.999900853929221,5.440942e-05
0.040899,0.040805,0.040925886,-9.400025e-05,2.688542e-05,False,True,False,0.999900853929221,5.440942e-05
0.027301,0.027325,0.027317371,2.4000183e-05,1.6370788e-05,True,True,True,0.999900853929221,5.440942e-05
0.02766,0.02768,0.027673295,2.0001084e-05,1.3295561e-05,True,True,True,0.999900853929221,5.440942e-05
0.041853,0.041875,0.04187522,2.2001565e-05,2.2221357e-05,True,True,True,0.999900853929221,5.440942e-05
0.030451,0.030548,0.030469198,9.700097e-05,1.8198043e-05,True,True,True,0.999900853929221,5.440942e-05
0.042752,0.042753,0.042773347,9.983778e-07,2.1345913e-05,True,True,True,0.999900853929221,5.440942e-05
0.035475,0.035491,0.035502415,1.6000122e-05,2.7414411e-05,True,True,True,0.999900853929221,5.440942e-05
0.041234,0.041246,0.04124925,1.199916e-05,1.5247613e-05,True,True,True,0.999900853929221,5.440942e-05
0.034863,0.034834,0.034886997,-2.899766e-05,2.399832e-05,False,True,False,0.999900853929221,5.440942e-05
0.041246,0.041279,0.041261464,3.299862e-05,1.546368e-05,True,True,True,0.999900853929221,5.440942e-05
0.03993,0.039925,0.039955452,-4.9993396e-06,2.5451183e-05,False,True,False,0.999900853929221,5.440942e-05
0.029536,0.02957,0.029552374,3.4000725e-05,1.6374514e-05,True,True,True,0.999900853929221,5.440942e-05
0.037703,0.037791,0.037728395,8.799881e-05,2.5395304e-05,True,True,True,0.999900853929221,5.440942e-05
0.030789,0.030771,0.030806182,-1.8000603e-05,1.7181039e-05,False,True,False,0.999900853929221,5.440942e-05
0.02768,0.027733,0.027693413,5.2999705e-05,1.3412908e-05,True,True,True,0.999900853929221,5.440942e-05
0.034833,0.034788,0.0348565,-4.499778e-05,2.3499131e-05,False,True,False,0.999900853929221,5.440942e-05
0.037329,0.037539,0.03735512,0.00021000206,2.6121736e-05,True,True,True,0.999900853929221,5.440942e-05
0.030906,0.030927,0.030924605,2.1001324e-05,1.8605962e-05,True,True,True,0.999900853929221,5.440942e-05
0.03216,0.032208,0.032180518,4.8000365e-05,2.0518899e-05,True,True,True,0.999900853929221,5.440942e-05
0.030023,0.030013,0.030041438,-9.998679e-06,1.8438324e-05,False,True,False,0.999900853929221,5.440942e-05
0.029677,0.029701,0.029693255,2.4000183e-05,1.6255304e-05,True,True,True,0.999900853929221,5.440942e-05
0.034761,0.034809,0.034788154,4.8000365e-05,2.7153641e-05,True,True,True,0.999900853929221,5.440942e-05
0.039868,0.039804,0.03989291,-6.400049e-05,2.4907291e-05,False,True,False,0.999900853929221,5.440942e-05
0.02982,0.029815,0.029837618,-5.001202e-06,1.7616898e-05,False,True,False,0.999900853929221,5.440942e-05
0.037484,0.037545,0.037509438,6.0997903e-05,2.5436282e-05,True,True,True,0.999900853929221,5.440942e-05
0.030872,0.030925,0.030889617,5.2999705e-05,1.7616898e-05,True,True,True,0.999900853929221,5.440942e-05
0.040965,0.040993,0.040981647,2.8003007e-05,1.6648322e-05,True,True,True,0.999900853929221,5.440942e-05
0.041596,0.041608,0.041616913,1.199916e-05,2.091378e-05,True,True,True,0.999900853929221,5.440942e-05
0.031402,0.0314,0.031422637,-2.000481e-06,2.0638108e-05,False,True,False,0.999900853929221,5.440942e-05
0.043861,0.043894,0.043883435,3.299862e-05,2.2433698e-05,True,True,True,0.999900853929221,5.440942e-05
0.039763,0.039768,0.03979022,4.9993396e-06,2.7220696e-05,True,True,True,0.999900853929221,5.440942e-05
0.029845,0.029896,0.029863285,5.1001087e-05,1.8285587e-05,True,True,True,0.999900853929221,5.440942e-05
0.039898,0.039907,0.03992472,9.000301e-06,2.6717782e-05,True,True,True,0.999900853929221,5.440942e-05
0.035876,0.035828,0.035903465,-4.799664e-05,2.7466565e-05,False,True,False,0.999900853929221,5.440942e-05
0.041724,0.041761,0.041745793,3.6999583e-05,2.1792948e-05,True,True,True,0.999900853929221,5.440942e-05
0.029689,0.029697,0.029708585,7.998198e-06,1.9583851e-05,True,True,True,0.999900853929221,5.440942e-05
0.027117,0.027141,0.027124505,2.399832e-05,7.5045973e-06,True,True,True,0.999900853929221,5.440942e-05
0.043264,0.043196,0.043284316,-6.800145e-05,2.0314008e-05,False,True,False,0.999900853929221,5.440942e-05
0.027773,0.027785,0.027786704,1.199916e-05,1.370348e-05,True,True,True,0.999900853929221,5.440942e-05
0.028657,0.028655,0.028672507,-2.000481e-06,1.550652e-05,False,True,False,0.999900853929221,5.440942e-05
0.029524,0.029536,0.029540457,1.199916e-05,1.645647e-05,True,True,True,0.999900853929221,5.440942e-05
0.041587,0.041589,0.041607372,2.000481e-06,2.0373613e-05,True,True,True,0.999900853929221,5.440942e-05
0.031017,0.030987,0.031035483,-2.9999763e-05,1.8483028e-05,False,True,False,0.999900853929221,5.440942e-05
0.03932,0.039356,0.039345864,3.6001205e-05,2.586469e-05,True,True,True,0.999900853929221,5.440942e-05
0.039907,0.039935,0.039933164,2.7999282e-05,2.6162714e-05,True,True,True,0.999900853929221,5.440942e-05
0.042048,0.042055,0.042070504,6.9998205e-06,2.2504479e-05,True,True,True,0.999900853929221,5.440942e-05
0.042098,0.042097,0.04212057,-1.0021031e-06,2.2567809e-05,False,True,False,0.999900853929221,5.440942e-05
0.027021,0.027014,0.027021466,-6.9998205e-06,4.656613e-07,False,True,False,0.999900853929221,5.440942e-05
0.030635,0.030723,0.030651424,8.800067e-05,1.6424805e-05,True,True,True,0.999900853929221,5.440942e-05
0.041875,0.041885,0.041897256,9.998679e-06,2.2254884e-05,True,True,True,0.999900853929221,5.440942e-05
0.043902,0.043957,0.04392453,5.5000186e-05,2.2530556e-05,True,True,True,0.999900853929221,5.440942e-05
0.029427,0.029462,0.029444983,3.5000965e-05,1.7983839e-05,True,True,True,0.999900853929221,5.440942e-05
0.039486,0.039575,0.03951116,8.900091e-05,2.516061e-05,True,True,True,0.999900853929221,5.440942e-05
0.03668,0.036728,0.036706135,4.799664e-05,2.6132911e-05,True,True,True,0.999900853929221,5.440942e-05
0.034167,0.034201,0.034190595,3.4000725e-05,2.3595989e-05,True,True,True,0.999900853929221,5.440942e-05
0.032686,0.032645,0.032705706,-4.1000545e-05,1.9706786e-05,False,True,False,0.999900853929221,5.440942e-05
0.039847,0.040168,0.039874442,0.0003209971,2.7440488e-05,True,True,True,0.999900853929221,5.440942e-05
0.028458,0.028455,0.028473713,-2.9988587e-06,1.5713274e-05,False,True,False,0.999900853929221,5.440942e-05
0.034589,0.034513,0.034615345,-7.599965e-05,2.6345253e-05,False,True,False,0.999900853929221,5.440942e-05
0.041608,0.041605,0.0416289,-2.9988587e-06,2.0902604e-05,False,True,False,0.999900853929221,5.440942e-05
0.04504,0.044936,0.04506978,-0.00010399893,2.977997e-05,False,True,False,0.999900853929221,5.440942e-05
0.037791,0.037843,0.037817005,5.2001327e-05,2.6006252e-05,True,True,True,0.999900853929221,5.440942e-05
0.031573,0.031607,0.031591173,3.3997e-05,1.8171966e-05,True,True,True,0.999900853929221,5.440942e-05
0.033181,0.033211,0.03320196,2.9999763e-05,2.0958483e-05,True,True,True,0.999900853929221,5.440942e-05
0.03962,0.039421,0.039643843,-0.00019900128,2.3841858e-05,False,True,False,0.999900853929221,5.440942e-05
0.030616,0.030611,0.030634053,-5.001202e-06,1.8052757e-05,False,True,False,0.999900853929221,5.440942e-05
0.029628,0.029615,0.029644763,-1.29994005e-05,1.6763806e-05,False,True,False,0.999900853929221,5.440942e-05
0.02793,0.027923,0.02794507,-7.001683e-06,1.5068799e-05,False,True,False,0.999900853929221,5.440942e-05
0.041885,0.041891,0.041907225,6.0014427e-06,2.2225082e-05,True,True,True,0.999900853929221,5.440942e-05
0.027663,0.02767,0.027677277,6.9998205e-06,1.4277175e-05,True,True,True,0.999900853929221,5.440942e-05
0.04069,0.040701,0.040720243,1.0997057e-05,3.0241907e-05,True,True,True,0.999900853929221,5.440942e-05
0.039814,0.039826,0.039840735,1.199916e-05,2.6736408e-05,True,True,True,0.999900853929221,5.440942e-05
0.032478,0.032523,0.03249709,4.499778e-05,1.9088387e-05,True,True,True,0.999900853929221,5.440942e-05
0.027685,0.02766,0.02769879,-2.5000423e-05,1.3791025e-05,False,True,False,0.999900853929221,5.440942e-05
0.036032,0.036116,0.036056772,8.400157e-05,2.477318e-05,True,True,True,0.999900853929221,5.440942e-05
0.035951,0.035994,0.03597619,4.3001026e-05,2.5190413e-05,True,True,True,0.999900853929221,5.440942e-05
0.030611,0.030572,0.030628735,-3.89982e-05,1.7736107e-05,False,True,False,0.999900853929221,5.440942e-05
0.044037,0.04412,0.044059657,8.299947e-05,2.2657216e-05,True,True,True,0.999900853929221,5.440942e-05
0.030831,0.030841,0.030848255,1.0000542e-05,1.7255545e-05,True,True,True,0.999900853929221,5.440942e-05
0.02867,0.028672,0.028685516,2.000481e-06,1.5515834e-05,True,True,True,0.999900853929221,5.440942e-05
0.036159,0.036167,0.036181778,7.998198e-06,2.2776425e-05,True,True,True,0.999900853929221,5.440942e-05
0.028059,0.028057,0.028074821,-2.000481e-06,1.5821308e-05,False,True,False,0.999900853929221,5.440942e-05
0.037502,0.037232,0.037526272,-0.00026999786,2.4273992e-05,False,True,False,0.999900853929221,5.440942e-05
0.027425,0.027475,0.027442768,4.9998984e-05,1.7767772e-05,True,True,True,0.999900853929221,5.440942e-05
0.043679,0.043686,0.04370091,6.9998205e-06,2.1912158e-05,True,True,True,0.999900853929221,5.440942e-05
0.042903,0.043033,0.04292279,0.00013000146,1.9792467e-05,True,True,True,0.999900853929221,5.440942e-05
0.040993,0.041106,0.04100916,0.00011299923,1.616031e-05,True,True,True,0.999900853929221,5.440942e-05
0.034521,0.034589,0.03454695,6.800145e-05,2.5950372e-05,True,True,True,0.999900853929221,5.440942e-05
0.039421,0.039348,0.039443515,-7.300079e-05,2.2515655e-05,False,True,False,0.999900853929221,5.440942e-05
0.044005,0.044037,0.044027526,3.2000244e-05,2.252683e-05,True,True,True,0.999900853929221,5.440942e-05
0.041729,0.041759,0.041750755,2.9999763e-05,2.1755695e-05,True,True,True,0.999900853929221,5.440942e-05
0.027184,0.027184,0.027194548,0.0,1.05481595e-05,False,True,False,0.999900853929221,5.440942e-05
0.027141,0.02716,0.027149538,1.9000843e-05,8.538365e-06,True,True,True,0.999900853929221,5.440942e-05
0.041663,0.041669,0.04168388,6.0014427e-06,2.0880252e-05,True,True,True,0.999900853929221,5.440942e-05
