x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
1.301703,1.302723,1.3027486,0.0010200739,0.0010455847,True,True,True,0.999985435227793,0.0005316342
1.397613,1.397902,1.398216,0.00028896332,0.0006029606,True,True,True,0.999985435227793,0.0005316342
1.426598,1.426905,1.4270265,0.00030708313,0.0004285574,True,True,True,0.999985435227793,0.0005316342
1.511714,1.511889,1.5123053,0.00017499924,0.0005912781,True,True,True,0.999985435227793,0.0005316342
1.185754,1.18645,1.1867374,0.00069606304,0.0009834766,True,True,True,0.999985435227793,0.0005316342
1.505448,1.507117,1.5060105,0.0016690493,0.00056254864,True,True,True,0.999985435227793,0.0005316342
1.23645,1.238148,1.2373277,0.0016980171,0.000877738,True,True,True,0.999985435227793,0.0005316342
1.071547,1.072005,1.0722679,0.0004580021,0.0007208586,True,True,True,0.999985435227793,0.0005316342
1.328567,1.329168,1.329631,0.000600934,0.0010639429,True,True,True,0.999985435227793,0.0005316342
1.132749,1.133443,1.1336502,0.0006940365,0.0009012222,True,True,True,0.999985435227793,0.0005316342
1.342973,1.343411,1.3440244,0.00043797493,0.0010514259,True,True,True,0.999985435227793,0.0005316342
1.297298,1.298011,1.298328,0.00071299076,0.0010300875,True,True,True,0.999985435227793,0.0005316342
1.162544,1.16455,1.1634982,0.0020059347,0.00095415115,True,True,True,0.999985435227793,0.0005316342
1.402536,1.402921,1.4031155,0.0003849268,0.00057947636,True,True,True,0.999985435227793,0.0005316342
1.190908,1.191594,1.191896,0.00068604946,0.0009880066,True,True,True,0.999985435227793,0.0005316342
1.398959,1.399464,1.3995569,0.00050497055,0.0005978346,True,True,True,0.999985435227793,0.0005316342
1.25803,1.258708,1.2589407,0.00067794323,0.00091063976,True,True,True,0.999985435227793,0.0005316342
1.155804,1.1565,1.156754,0.00069594383,0.0009499788,True,True,True,0.999985435227793,0.0005316342
1.253434,1.254048,1.2543398,0.00061404705,0.0009058714,True,True,True,0.999985435227793,0.0005316342
1.479393,1.479771,1.4797696,0.00037801266,0.00037658215,True,True,True,0.999985435227793,0.0005316342
1.432944,1.433773,1.4334114,0.0008289814,0.00046730042,True,True,True,0.999985435227793,0.0005316342
1.248715,1.249465,1.2496159,0.00074994564,0.0009008646,True,True,True,0.999985435227793,0.0005316342
1.497539,1.497928,1.4980707,0.0003889799,0.00053167343,True,True,True,0.999985435227793,0.0005316342
1.35451,1.355127,1.3554763,0.0006170273,0.0009663105,True,True,True,0.999985435227793,0.0005316342
1.47442,1.474781,1.4747634,0.00036108494,0.00034344196,True,True,True,0.999985435227793,0.0005316342
1.40585,1.406888,1.4064173,0.0010379553,0.0005671978,True,True,True,0.999985435227793,0.0005316342
1.466578,1.466973,1.4669675,0.00039494038,0.00038945675,True,True,True,0.999985435227793,0.0005316342
1.258708,1.259325,1.2596171,0.0006170273,0.00090909004,True,True,True,0.999985435227793,0.0005316342
1.325359,1.326456,1.3264148,0.0010969639,0.0010558367,True,True,True,0.999985435227793,0.0005316342
1.511889,1.514152,1.5124778,0.0022630692,0.0005887747,True,True,True,0.999985435227793,0.0005316342
1.076011,1.077399,1.0767219,0.001388073,0.0007109642,True,True,True,0.999985435227793,0.0005316342
1.199289,1.199611,1.200277,0.0003219843,0.0009880066,True,True,True,0.999985435227793,0.0005316342
1.358187,1.358614,1.3591013,0.00042700768,0.00091433525,True,True,True,0.999985435227793,0.0005316342
1.402921,1.40326,1.4034978,0.00033903122,0.00057685375,True,True,True,0.999985435227793,0.0005316342
1.200969,1.202985,1.2019402,0.0020160675,0.0009711981,True,True,True,0.999985435227793,0.0005316342
1.231003,1.231654,1.2319012,0.00065100193,0.0008981228,True,True,True,0.999985435227793,0.0005316342
1.46518,1.465369,1.4655924,0.00018894672,0.00041234493,True,True,True,0.999985435227793,0.0005316342
1.507117,1.507682,1.5076916,0.0005649328,0.0005745888,True,True,True,0.999985435227793,0.0005316342
1.113045,1.114784,1.1139376,0.0017390251,0.00089263916,True,True,True,0.999985435227793,0.0005316342
1.137307,1.138043,1.1382123,0.00073599815,0.00090527534,True,True,True,0.999985435227793,0.0005316342
1.16455,1.165484,1.1655147,0.0009340048,0.0009647608,True,True,True,0.999985435227793,0.0005316342
1.346787,1.347297,1.3478256,0.00050997734,0.0010386705,True,True,True,0.999985435227793,0.0005316342
1.362545,1.363017,1.3633746,0.00047194958,0.00082957745,True,True,True,0.999985435227793,0.0005316342
1.409761,1.410071,1.4103069,0.00031006336,0.00054597855,True,True,True,0.999985435227793,0.0005316342
