x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
1.516528,1.498649,1.5299402,-0.01787901,0.013412237,False,True,False,0.9903619105731959,0.01759359
1.57313,1.580958,1.5847234,0.007827997,0.011593342,True,True,True,0.9903619105731959,0.01759359
1.159463,1.173969,1.1671543,0.014505982,0.007691264,True,True,True,0.9903619105731959,0.01759359
1.580958,1.600952,1.5931059,0.01999402,0.012147903,True,True,True,0.9903619105731959,0.01759359
1.20721,1.22249,1.2123278,0.015280008,0.005117893,True,True,True,0.9903619105731959,0.01759359
1.499449,1.506232,1.5115405,0.0067830086,0.012091517,True,True,True,0.9903619105731959,0.01759359
1.187221,1.199556,1.202166,0.012334943,0.014944911,True,True,True,0.9903619105731959,0.01759359
1.186699,1.192346,1.2000732,0.005646944,0.013374209,True,True,True,0.9903619105731959,0.01759359
1.367685,1.365147,1.3694218,-0.0025379658,0.0017368793,False,True,False,0.9903619105731959,0.01759359
1.802846,1.823239,1.7915133,0.020393014,-0.011332631,True,False,False,0.9903619105731959,0.01759359
1.397305,1.369231,1.4017959,-0.028074026,0.0044908524,False,True,False,0.9903619105731959,0.01759359
1.25129,1.238371,1.2548076,-0.012918949,0.0035176277,False,True,False,0.9903619105731959,0.01759359
1.495986,1.499449,1.5065974,0.0034630299,0.010611415,True,True,True,0.9903619105731959,0.01759359
1.192346,1.169543,1.2054111,-0.022802949,0.0130651,False,True,False,0.9903619105731959,0.01759359
1.367669,1.386909,1.3787057,0.019240022,0.011036754,True,True,True,0.9903619105731959,0.01759359
1.386909,1.370632,1.3963548,-0.016276956,0.0094457865,False,True,False,0.9903619105731959,0.01759359
1.198726,1.214334,1.2035322,0.015607953,0.004806161,True,True,True,0.9903619105731959,0.01759359
1.199556,1.217484,1.2138344,0.017928004,0.014278412,True,True,True,0.9903619105731959,0.01759359
1.533595,1.543278,1.5487432,0.009683013,0.015148282,True,True,True,0.9903619105731959,0.01759359
