x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
1.402338,1.394103,1.4073341,-0.008234978,0.0049960613,False,True,False,0.9906744416605694,0.019102097
1.26651,1.283632,1.2698976,0.01712203,0.0033875704,True,True,True,0.9906744416605694,0.019102097
1.430806,1.468084,1.4387937,0.037277937,0.007987618,True,True,True,0.9906744416605694,0.019102097
1.52345,1.537731,1.5356278,0.0142810345,0.012177825,True,True,True,0.9906744416605694,0.019102097
1.15644,1.174848,1.1612905,0.01840794,0.004850507,True,True,True,0.9906744416605694,0.019102097
1.315974,1.318819,1.3188708,0.002845049,0.0028967857,True,True,True,0.9906744416605694,0.019102097
1.405771,1.402338,1.4103569,-0.0034329891,0.004585862,False,True,False,0.9906744416605694,0.019102097
1.470304,1.517001,1.4817055,0.04669702,0.011401534,True,True,True,0.9906744416605694,0.019102097
1.191191,1.197099,1.1954908,0.0059080124,0.004299879,True,True,True,0.9906744416605694,0.019102097
1.330597,1.293496,1.3376936,-0.03710103,0.007096529,False,True,False,0.9906744416605694,0.019102097
1.654728,1.680669,1.6684965,0.025940895,0.0137684345,True,True,True,0.9906744416605694,0.019102097
1.380577,1.378429,1.384077,-0.002147913,0.0034999847,False,True,False,0.9906744416605694,0.019102097
2.106457,2.148613,2.1160595,0.04215598,0.009602547,True,True,True,0.9906744416605694,0.019102097
1.492311,1.515552,1.5016434,0.023241043,0.009332418,True,True,True,0.9906744416605694,0.019102097
1.202354,1.215818,1.2064841,0.013464093,0.004130125,True,True,True,0.9906744416605694,0.019102097
1.168014,1.178275,1.1727121,0.01026094,0.004698038,True,True,True,0.9906744416605694,0.019102097
1.204057,1.222029,1.2082503,0.017971992,0.004193306,True,True,True,0.9906744416605694,0.019102097
1.344924,1.339938,1.3476053,-0.0049859285,0.0026813745,False,True,False,0.9906744416605694,0.019102097
1.350159,1.363792,1.3577418,0.013632894,0.0075827837,True,True,True,0.9906744416605694,0.019102097
1.524361,1.51301,1.5342412,-0.011350989,0.009880185,False,True,False,0.9906744416605694,0.019102097
1.210325,1.215653,1.2143894,0.00532794,0.0040644407,True,True,True,0.9906744416605694,0.019102097
1.517001,1.524674,1.527975,0.007673025,0.01097393,True,True,True,0.9906744416605694,0.019102097
1.589653,1.585111,1.6027781,-0.004541993,0.013125062,False,True,False,0.9906744416605694,0.019102097
1.331233,1.330577,1.3343974,-0.0006560087,0.0031644106,False,True,False,0.9906744416605694,0.019102097
1.362492,1.361164,1.3657085,-0.0013279915,0.003216505,False,True,False,0.9906744416605694,0.019102097
1.197099,1.202354,1.2013109,0.005254984,0.0042119026,True,True,True,0.9906744416605694,0.019102097
1.51301,1.470304,1.5234243,-0.042706013,0.010414243,False,True,False,0.9906744416605694,0.019102097
1.524674,1.527441,1.5358646,0.0027669668,0.011190534,True,True,True,0.9906744416605694,0.019102097
