x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
0.020549,0.020558,0.020565502,9.000301e-06,1.6503036e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.017932,0.017943,0.017947279,1.1000782e-05,1.5279278e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.015113,0.015118,0.015120271,5.000271e-06,7.2708353e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022148,0.022164,0.022155372,1.6000122e-05,7.3723495e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014599,0.014614,0.01460649,1.4999881e-05,7.489696e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01479,0.014795,0.014796865,4.9993396e-06,6.8647787e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022644,0.02265,0.02265086,5.99958e-06,6.860122e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.016451,0.016477,0.016461335,2.6000664e-05,1.0335818e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022939,0.022946,0.022947127,6.9998205e-06,8.126721e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01976,0.019772,0.019776925,1.2001023e-05,1.6925856e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022304,0.022308,0.02231159,3.999099e-06,7.590279e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.019382,0.019394,0.019397547,1.199916e-05,1.5547499e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022308,0.022321,0.022315541,1.3001263e-05,7.54185e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.021769,0.021774,0.02177688,4.9993396e-06,7.878989e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015882,0.015887,0.01589014,4.9993396e-06,8.139759e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.021037,0.021045,0.02104896,8.000061e-06,1.19600445e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.016879,0.01689,0.016892014,1.1000782e-05,1.3014302e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.014795,0.0148,0.014801849,5.000271e-06,6.848946e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.019406,0.019418,0.019421585,1.199916e-05,1.5584752e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.020756,0.020783,0.020771302,2.6999041e-05,1.530163e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.016995,0.01704,0.01700801,4.4999644e-05,1.3010576e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.017834,0.017844,0.017849302,1.0000542e-05,1.530163e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.016227,0.016233,0.016236397,6.0014427e-06,9.397045e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015973,0.015981,0.015981292,8.000061e-06,8.292496e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.019158,0.01917,0.019172797,1.199916e-05,1.4796853e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021785,0.021802,0.021792758,1.7000362e-05,7.757917e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.016064,0.016071,0.016072586,6.9998205e-06,8.586794e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.020817,0.020842,0.020831516,2.5000423e-05,1.4515594e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.017053,0.017058,0.017066287,4.9993396e-06,1.3286248e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022246,0.02226,0.022253511,1.4001504e-05,7.512048e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.02247,0.022474,0.022476666,4.000962e-06,6.666407e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01723,0.017263,0.017244238,3.3000484e-05,1.42380595e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.023468,0.023476,0.0234794,8.000061e-06,1.1399388e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021613,0.021619,0.021621518,5.99958e-06,8.517876e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.016133,0.016155,0.016141945,2.2001565e-05,8.946285e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.021668,0.021685,0.021676153,1.7000362e-05,8.152798e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01993,0.019942,0.019947173,1.2001023e-05,1.7173588e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022571,0.022577,0.022577515,6.0014427e-06,6.5155327e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015767,0.015784,0.015774883,1.69985e-05,7.882714e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014545,0.01455,0.014552707,5.000271e-06,7.706694e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.023211,0.023219,0.02322087,8.000061e-06,9.870157e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014869,0.014874,0.014875841,5.000271e-06,6.8414956e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015307,0.015312,0.015314402,5.000271e-06,7.402152e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015875,0.015882,0.015883155,6.9998205e-06,8.1546605e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022543,0.022548,0.022549476,4.9993396e-06,6.476417e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.017114,0.017126,0.017127398,1.199916e-05,1.3398007e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021463,0.021469,0.021472268,6.0014427e-06,9.268522e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.021707,0.021724,0.02171503,1.7000362e-05,8.029863e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022714,0.02272,0.022721225,5.99958e-06,7.2252005e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022732,0.022738,0.02273931,5.99958e-06,7.3090196e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014491,0.014496,0.014498769,4.9993396e-06,7.769093e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.016623,0.016654,0.016634578,3.1000003e-05,1.1578202e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.02265,0.022655,0.022656886,5.001202e-06,6.886199e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.023521,0.023531,0.023532543,9.998679e-06,1.1542812e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.015747,0.015752,0.01575491,5.001202e-06,7.910654e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022003,0.022008,0.022010503,4.9993396e-06,7.5027347e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.020459,0.020469,0.020475606,1.0000542e-05,1.6605482e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.018856,0.018867,0.018870365,1.099892e-05,1.4364719e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.018087,0.018098,0.018102268,1.1000782e-05,1.5268102e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022059,0.022065,0.022066455,6.0014427e-06,7.4561685e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.015186,0.015191,0.015193453,5.000271e-06,7.4533746e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01909,0.019101,0.019104611,1.099892e-05,1.4610589e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022474,0.022478,0.022480609,3.999099e-06,6.608665e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.024341,0.024352,0.024359867,1.099892e-05,1.8866733e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021045,0.021068,0.021056855,2.2999942e-05,1.1855736e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.017516,0.017527,0.01753145,1.099892e-05,1.5450642e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.018297,0.018309,0.018312069,1.2001023e-05,1.5068799e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021891,0.021896,0.021898605,4.9993396e-06,7.60518e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.016509,0.016534,0.016519744,2.5000423e-05,1.0743737e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.015913,0.015919,0.015921269,5.99958e-06,8.268282e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014929,0.014934,0.014935895,4.9993396e-06,6.894581e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022655,0.022672,0.022661908,1.69985e-05,6.906688e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.014766,0.01477,0.014772832,4.0000305e-06,6.8321824e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022112,0.022132,0.022119397,1.9999221e-05,7.396564e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.021647,0.021652,0.021655379,4.9993396e-06,8.378178e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.018021,0.018054,0.018036237,3.299862e-05,1.5236437e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.014785,0.01479,0.014791879,5.000271e-06,6.8787485e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.020086,0.020097,0.020103486,1.1000782e-05,1.7486513e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.020061,0.020074,0.020078706,1.3001263e-05,1.7706305e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.016534,0.016542,0.016544942,8.000061e-06,1.0941178e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.023603,0.023646,0.023614742,4.3001026e-05,1.1742115e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.016688,0.016721,0.016700098,3.3000484e-05,1.209788e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.015328,0.015333,0.015335418,4.9993396e-06,7.4179843e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.020249,0.02026,0.02026577,1.1000782e-05,1.6769394e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.015006,0.015011,0.015012995,5.000271e-06,6.995164e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.020901,0.02091,0.0209147,9.000301e-06,1.3699755e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.014667,0.014682,0.014674157,1.4999881e-05,7.157214e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.023389,0.023397,0.023400089,8.000061e-06,1.1088327e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.023064,0.023088,0.02307294,2.4000183e-05,8.938834e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.02226,0.022264,0.022267591,3.999099e-06,7.590279e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.019068,0.01909,0.019082539,2.1999702e-05,1.4537945e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.021896,0.021901,0.021903584,5.001202e-06,7.584691e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.023593,0.023603,0.02360474,1.0000542e-05,1.1740252e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.022603,0.022608,0.022609666,5.001202e-06,6.666407e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01456,0.014565,0.01456761,5.000271e-06,7.6098368e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.01455,0.014555,0.014557677,4.9993396e-06,7.676892e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.022503,0.022507,0.022509512,4.000962e-06,6.5118074e-06,True,True,True,0.9999919969110587,8.5559905e-06
0.017616,0.017627,0.017631277,1.1000782e-05,1.5277416e-05,True,True,True,0.9999919969110587,8.5559905e-06
0.018009,0.018021,0.018024271,1.2001023e-05,1.5271828e-05,True,True,True,0.9999919969110587,8.5559905e-06
