x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
2.191557,2.189602,2.2018423,-0.0019550323,0.0102853775,False,True,False,0.9964908889697448,0.017369423
1.236548,1.220535,1.2345576,-0.016012907,-0.0019903183,False,False,False,0.9964908889697448,0.017369423
1.442554,1.422649,1.4450732,-0.019904971,0.00251925,False,True,False,0.9964908889697448,0.017369423
1.100731,1.125753,1.1010367,0.02502203,0.00030565262,True,True,True,0.9964908889697448,0.017369423
1.601347,1.628705,1.6076188,0.027358055,0.006271839,True,True,True,0.9964908889697448,0.017369423
1.735414,1.724851,1.7429023,-0.010563016,0.0074882507,False,True,False,0.9964908889697448,0.017369423
1.353388,1.363765,1.3558177,0.010377049,0.0024297237,True,True,True,0.9964908889697448,0.017369423
1.353237,1.34778,1.3562546,-0.0054570436,0.0030175447,False,True,False,0.9964908889697448,0.017369423
1.39468,1.384278,1.396864,-0.010401964,0.0021840334,False,True,False,0.9964908889697448,0.017369423
1.438374,1.469419,1.4409717,0.03104496,0.0025976896,True,True,True,0.9964908889697448,0.017369423
2.095804,2.116763,2.1073604,0.020959139,0.011556387,True,True,True,0.9964908889697448,0.017369423
1.269919,1.260383,1.2692564,-0.009536028,-0.00066268444,False,False,False,0.9964908889697448,0.017369423
1.505959,1.507172,1.5079913,0.0012129545,0.00203228,True,True,True,0.9964908889697448,0.017369423
1.58689,1.580357,1.5902435,-0.0065330267,0.0033534765,False,True,False,0.9964908889697448,0.017369423
1.168561,1.190864,1.1697252,0.022302985,0.0011641979,True,True,True,0.9964908889697448,0.017369423
1.324195,1.311337,1.3275491,-0.012858033,0.0033540726,False,True,False,0.9964908889697448,0.017369423
1.432038,1.438388,1.4385831,0.0063500404,0.006545186,True,True,True,0.9964908889697448,0.017369423
1.260832,1.237765,1.2597511,-0.023066998,-0.0010808706,False,False,False,0.9964908889697448,0.017369423
1.117592,1.134345,1.1209304,0.016753078,0.0033384562,True,True,True,0.9964908889697448,0.017369423
1.460384,1.475122,1.4659652,0.014737964,0.0055811405,True,True,True,0.9964908889697448,0.017369423
1.488626,1.492681,1.4939637,0.004055023,0.005337715,True,True,True,0.9964908889697448,0.017369423
1.510179,1.513706,1.5156322,0.003526926,0.0054531097,True,True,True,0.9964908889697448,0.017369423
1.794024,1.817985,1.8019819,0.023961067,0.007957935,True,True,True,0.9964908889697448,0.017369423
1.244226,1.219335,1.2452424,-0.024891019,0.0010163784,False,True,False,0.9964908889697448,0.017369423
1.306113,1.324195,1.3088024,0.018082023,0.0026893616,True,True,True,0.9964908889697448,0.017369423
1.511319,1.507137,1.5138358,-0.0041821003,0.0025167465,False,True,False,0.9964908889697448,0.017369423
1.354155,1.346721,1.3584036,-0.0074338913,0.004248619,False,True,False,0.9964908889697448,0.017369423
1.817985,1.824639,1.8265338,0.006653905,0.008548737,True,True,True,0.9964908889697448,0.017369423
1.242967,1.272354,1.2471519,0.029386997,0.004184842,True,True,True,0.9964908889697448,0.017369423
1.356766,1.357229,1.3625526,0.00046300888,0.0057866573,True,True,True,0.9964908889697448,0.017369423
1.232832,1.253921,1.2323021,0.021089077,-0.0005298853,True,False,False,0.9964908889697448,0.017369423
1.326724,1.32038,1.3354888,-0.00634408,0.008764744,False,True,False,0.9964908889697448,0.017369423
1.598303,1.634473,1.6041768,0.036170006,0.0058737993,True,True,True,0.9964908889697448,0.017369423
1.235813,1.224463,1.2355363,-0.011350036,-0.00027668476,False,False,False,0.9964908889697448,0.017369423
2.252408,2.282003,2.2636728,0.029594898,0.011264801,True,True,True,0.9964908889697448,0.017369423
1.238415,1.240346,1.236547,0.0019309521,-0.0018680096,True,False,False,0.9964908889697448,0.017369423
1.529016,1.513279,1.530795,-0.015737057,0.0017789602,False,True,False,0.9964908889697448,0.017369423
1.59359,1.56407,1.5998484,-0.029520035,0.0062583685,False,True,False,0.9964908889697448,0.017369423
1.596161,1.564798,1.5988512,-0.03136301,0.002690196,False,True,False,0.9964908889697448,0.017369423
2.282003,2.29033,2.2938948,0.008327007,0.011891842,True,True,True,0.9964908889697448,0.017369423
1.432965,1.441638,1.4323184,0.008672953,-0.0006465912,True,False,False,0.9964908889697448,0.017369423
1.346042,1.33613,1.3495837,-0.009912014,0.003541708,False,True,False,0.9964908889697448,0.017369423
1.240346,1.202915,1.2385726,-0.037431,-0.0017733574,False,False,False,0.9964908889697448,0.017369423
1.237765,1.227499,1.2357912,-0.010265946,-0.0019737482,False,False,False,0.9964908889697448,0.017369423
1.133927,1.169271,1.135063,0.035344005,0.0011360645,True,True,True,0.9964908889697448,0.017369423
1.262286,1.24476,1.2627237,-0.017525911,0.0004377365,False,True,False,0.9964908889697448,0.017369423
1.560068,1.576504,1.5656133,0.01643598,0.0055452585,True,True,True,0.9964908889697448,0.017369423
1.220535,1.238415,1.2179691,0.017879963,-0.00256598,True,False,False,0.9964908889697448,0.017369423
1.758192,1.76763,1.7676682,0.009438038,0.009476304,True,True,True,0.9964908889697448,0.017369423
1.76763,1.763168,1.7771516,-0.0044620037,0.009521604,False,True,False,0.9964908889697448,0.017369423
1.109607,1.101183,1.1121601,-0.008423924,0.0025531054,False,True,False,0.9964908889697448,0.017369423
2.078244,2.088221,2.0901456,0.009977102,0.011901617,True,True,True,0.9964908889697448,0.017369423
1.512753,1.541593,1.514782,0.028839946,0.002028942,True,True,True,0.9964908889697448,0.017369423
1.112553,1.124725,1.1164907,0.012171984,0.0039377213,True,True,True,0.9964908889697448,0.017369423
1.101735,1.09844,1.1032866,-0.0032949448,0.0015516281,False,True,False,0.9964908889697448,0.017369423
1.447208,1.44568,1.4529907,-0.0015280247,0.005782604,False,True,False,0.9964908889697448,0.017369423
1.500072,1.488626,1.5060565,-0.011445999,0.0059845448,False,True,False,0.9964908889697448,0.017369423
1.219335,1.241747,1.2191586,0.022412062,-0.00017631054,True,False,False,0.9964908889697448,0.017369423
1.429183,1.432556,1.4317081,0.0033730268,0.0025250912,True,True,True,0.9964908889697448,0.017369423
1.199177,1.19303,1.1964008,-0.006147027,-0.0027762651,False,False,False,0.9964908889697448,0.017369423
1.524469,1.511012,1.5277829,-0.01345706,0.003313899,False,True,False,0.9964908889697448,0.017369423
1.597344,1.588392,1.603833,-0.008952022,0.0064889193,False,True,False,0.9964908889697448,0.017369423
1.202915,1.191063,1.1998004,-0.011851907,-0.003114581,False,False,False,0.9964908889697448,0.017369423
1.22061,1.227675,1.219428,0.0070649385,-0.0011820793,True,False,False,0.9964908889697448,0.017369423
1.652091,1.653077,1.6599684,0.00098598,0.00787735,True,True,True,0.9964908889697448,0.017369423
1.063414,1.069531,1.0627722,0.0061169863,-0.0006418228,True,False,False,0.9964908889697448,0.017369423
1.838144,1.863928,1.8465068,0.025784016,0.008362889,True,True,True,0.9964908889697448,0.017369423
1.483703,1.489349,1.4873515,0.0056459904,0.0036485195,True,True,True,0.9964908889697448,0.017369423
1.469419,1.442554,1.4730753,-0.026865005,0.0036562681,False,True,False,0.9964908889697448,0.017369423
1.209534,1.209792,1.2117985,0.0002579689,0.0022644997,True,True,True,0.9964908889697448,0.017369423
1.515267,1.507811,1.519601,-0.007456064,0.004333973,False,True,False,0.9964908889697448,0.017369423
2.160425,2.149147,2.1712356,-0.011277914,0.010810614,False,True,False,0.9964908889697448,0.017369423
