x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
1.56223,1.563499,1.9211757823139826,0.0012689829,0.3589457913548151,True,True,True,-1.4304917862328996,0.42114141733609517
1.352099,1.371606,1.864876286924691,0.01950705,0.5127773451217126,True,True,True,-1.4304917862328996,0.42114141733609517
1.518165,1.529686,1.904532141030362,0.011520982,0.38636714869790345,True,True,True,-1.4304917862328996,0.42114141733609517
1.583029,1.57168,1.9453490924375094,-0.011349082,0.3623200606839694,False,True,False,-1.4304917862328996,0.42114141733609517
1.375493,1.377009,1.8717983695487475,0.0015159845,0.4963053199271654,True,True,True,-1.4304917862328996,0.42114141733609517
1.363621,1.377936,1.8718925805746518,0.014315009,0.5082715840994321,True,True,True,-1.4304917862328996,0.42114141733609517
1.740744,1.752568,1.9831427147825889,0.011824012,0.24239872006975927,True,True,True,-1.4304917862328996,0.42114141733609517
1.226662,1.218885,1.8340781568146203,-0.007777095,0.6074161170578454,False,True,False,-1.4304917862328996,0.42114141733609517
1.869867,1.86531,2.0088096942225646,-0.0045570135,0.1389427270213317,False,True,False,-1.4304917862328996,0.42114141733609517
1.469658,1.482392,1.8980253355799694,0.012733936,0.42836731842146114,True,True,True,-1.4304917862328996,0.42114141733609517
1.737184,1.727133,1.973528783285315,-0.010051012,0.2363447355863404,False,True,False,-1.4304917862328996,0.42114141733609517
1.333755,1.32305,1.8670175272100054,-0.010704994,0.5332625108831011,False,True,False,-1.4304917862328996,0.42114141733609517
1.727133,1.732525,1.9720446656632824,0.0053919554,0.24491163000349236,True,True,True,-1.4304917862328996,0.42114141733609517
1.826622,1.815888,1.9900026630138614,-0.010733962,0.16338065373651767,False,True,False,-1.4304917862328996,0.42114141733609517
1.250834,1.224842,1.8493436516185051,-0.025992036,0.5985096634288078,False,True,False,-1.4304917862328996,0.42114141733609517
1.577342,1.579571,1.9295633043268958,0.0022289753,0.35222127094066535,True,True,True,-1.4304917862328996,0.42114141733609517
1.343112,1.343106,1.8622543269967442,-5.9604645e-06,0.51914233511442,False,True,False,-1.4304917862328996,0.42114141733609517
1.377936,1.383207,1.8748630345663342,0.005270958,0.496927028973988,True,True,True,-1.4304917862328996,0.42114141733609517
1.339713,1.344481,1.8680910509065913,0.004768014,0.5283780734972285,True,True,True,-1.4304917862328996,0.42114141733609517
1.599937,1.646232,1.9305676967431453,0.046295047,0.3306307346154598,True,True,True,-1.4304917862328996,0.42114141733609517
1.300812,1.267669,1.8533895236612616,-0.033143044,0.5525775176645575,False,True,False,-1.4304917862328996,0.42114141733609517
1.292964,1.295917,1.8524758939153207,0.0029530525,0.5595119122869028,True,True,True,-1.4304917862328996,0.42114141733609517
1.257603,1.233116,1.8433156599343308,-0.024487019,0.5857126106560715,False,True,False,-1.4304917862328996,0.42114141733609517
1.218526,1.249956,1.8388009116162574,0.031430006,0.6202749058713233,True,True,True,-1.4304917862328996,0.42114141733609517
1.363627,1.369281,1.8755837416185686,0.0056540966,0.5119567846788713,True,True,True,-1.4304917862328996,0.42114141733609517
1.753976,1.687582,1.9767963260577215,-0.06639397,0.22282033862333428,False,True,False,-1.4304917862328996,0.42114141733609517
1.297644,1.261941,1.856048742822993,-0.035703063,0.558404723696101,False,True,False,-1.4304917862328996,0.42114141733609517
1.623227,1.640984,1.9352085493544362,0.017757058,0.31198154911792497,True,True,True,-1.4304917862328996,0.42114141733609517
1.273165,1.276032,1.847869519197394,0.0028669834,0.574704531633307,True,True,True,-1.4304917862328996,0.42114141733609517
1.670423,1.667492,1.959274432534225,-0.0029309988,0.2888514016809536,False,True,False,-1.4304917862328996,0.42114141733609517
1.868014,1.875318,2.0019398785377804,0.0073040724,0.13392590053332487,True,True,True,-1.4304917862328996,0.42114141733609517
1.331738,1.332006,1.8607915133979216,0.00026798248,0.5290535182502165,True,True,True,-1.4304917862328996,0.42114141733609517
2.31376,2.32904,2.103793768708425,0.015280008,-0.20996627348212682,True,False,False,-1.4304917862328996,0.42114141733609517
1.960802,1.954181,2.0102447511762374,-0.006621003,0.04944279213845659,False,True,False,-1.4304917862328996,0.42114141733609517
1.206496,1.216215,1.832042532970245,0.009719014,0.625546532680328,True,True,True,-1.4304917862328996,0.42114141733609517
1.97916,1.958394,2.016172884179426,-0.0207659,0.03701293296940422,False,True,False,-1.4304917862328996,0.42114141733609517
1.498481,1.510214,1.9031921916218368,0.011732936,0.4047111563892929,True,True,True,-1.4304917862328996,0.42114141733609517
1.718793,1.763231,1.9763868601230488,0.044438004,0.25759382556952093,True,True,True,-1.4304917862328996,0.42114141733609517
1.329916,1.351826,1.8714298316010514,0.021909952,0.5415138312348404,True,True,True,-1.4304917862328996,0.42114141733609517
1.341029,1.355299,1.8662596097897672,0.014269948,0.5252305618237638,True,True,True,-1.4304917862328996,0.42114141733609517
2.101081,2.042809,2.055666335073668,-0.058271885,-0.04541455939654693,False,False,False,-1.4304917862328996,0.42114141733609517
1.369009,1.383157,1.8727011925547241,0.014147997,0.5036921746103882,True,True,True,-1.4304917862328996,0.42114141733609517
1.538907,1.525474,1.9140736084474212,-0.013433099,0.37516655736099547,False,True,False,-1.4304917862328996,0.42114141733609517
1.26497,1.250834,1.8530677802704616,-0.014135957,0.5880978353165431,False,True,False,-1.4304917862328996,0.42114141733609517
1.731518,1.74438,1.9778345838297182,0.012861967,0.24631655366309224,True,True,True,-1.4304917862328996,0.42114141733609517
1.347647,1.333985,1.8640086972510508,-0.013661981,0.5163617455756357,False,True,False,-1.4304917862328996,0.42114141733609517
1.853339,1.879006,1.9851323345452958,0.025667071,0.13179337771241006,True,True,True,-1.4304917862328996,0.42114141733609517
1.936485,1.930718,2.0105225039345513,-0.005767107,0.0740374518257867,False,True,False,-1.4304917862328996,0.42114141733609517
1.749962,1.738605,1.986951219989144,-0.01135695,0.23698924775251062,False,True,False,-1.4304917862328996,0.42114141733609517
1.7474,1.747456,1.9868677210158847,5.5909157e-05,0.23946767562098725,True,True,True,-1.4304917862328996,0.42114141733609517
1.372094,1.355606,1.8750276103386585,-0.016488075,0.5029335751900379,False,True,False,-1.4304917862328996,0.42114141733609517
1.262725,1.288067,1.8422386945744902,0.025341988,0.579513698961392,True,True,True,-1.4304917862328996,0.42114141733609517
1.752568,1.765991,1.9856896154267665,0.013422966,0.23312160891126354,True,True,True,-1.4304917862328996,0.42114141733609517
2.328731,2.337363,2.10960323618523,0.008631945,-0.21912782384284624,True,False,False,-1.4304917862328996,0.42114141733609517
1.339685,1.340253,1.8746246191303577,0.00056803226,0.5349396559040394,True,True,True,-1.4304917862328996,0.42114141733609517
1.515549,1.560574,1.934265627557476,0.04502511,0.4187166830842095,True,True,True,-1.4304917862328996,0.42114141733609517
1.515973,1.498863,1.9121779780235852,-0.01710999,0.3962050061073865,False,True,False,-1.4304917862328996,0.42114141733609517
1.43958,1.426056,1.8913616991117401,-0.013523936,0.4517817354276581,False,True,False,-1.4304917862328996,0.42114141733609517
1.488052,1.483934,1.8932845300433818,-0.0041179657,0.40523251950718797,False,True,False,-1.4304917862328996,0.42114141733609517
1.586847,1.596452,1.9494361883677038,0.00960505,0.3625892406977209,True,True,True,-1.4304917862328996,0.42114141733609517
1.516071,1.499734,1.9062094294785723,-0.016336918,0.39013846752636283,False,True,False,-1.4304917862328996,0.42114141733609517
1.427152,1.404569,1.8902027675665931,-0.022583008,0.4630507299460487,False,True,False,-1.4304917862328996,0.42114141733609517
1.875318,1.856262,2.003512042028171,-0.019056082,0.12819399164364942,False,True,False,-1.4304917862328996,0.42114141733609517
2.595084,2.585776,2.175549519651877,-0.009307861,-0.4195344322981964,False,False,False,-1.4304917862328996,0.42114141733609517
1.579571,1.57664,1.9301682048822417,-0.0029309988,0.35059719619999075,False,True,False,-1.4304917862328996,0.42114141733609517
1.327876,1.327031,1.8606195334158455,-0.00084495544,0.5327435616217171,False,True,False,-1.4304917862328996,0.42114141733609517
1.463002,1.467865,1.8886819817555176,0.0048630238,0.4256800152790772,True,True,True,-1.4304917862328996,0.42114141733609517
1.413217,1.386918,1.906872210966949,-0.026299,0.4936552624577326,False,True,False,-1.4304917862328996,0.42114141733609517
1.22994,1.232367,1.834742012331935,0.002426982,0.6048019555310926,True,True,True,-1.4304917862328996,0.42114141733609517
1.234724,1.210648,1.8447951753468221,-0.024076104,0.6100711305470174,False,True,False,-1.4304917862328996,0.42114141733609517
1.421918,1.424306,1.885044205765887,0.0023880005,0.4631261712123591,True,True,True,-1.4304917862328996,0.42114141733609517
1.765991,1.75515,1.9886563265887978,-0.010841012,0.22266535406987686,False,True,False,-1.4304917862328996,0.42114141733609517
1.407577,1.404297,1.8793529779751375,-0.0032800436,0.47177594016385815,False,True,False,-1.4304917862328996,0.42114141733609517
1.631917,1.62906,1.957479247366887,-0.0028569698,0.3255622475499924,False,True,False,-1.4304917862328996,0.42114141733609517
1.926808,1.92833,2.005609990989387,0.001521945,0.07880199137848631,True,True,True,-1.4304917862328996,0.42114141733609517
1.446651,1.447076,1.8862113165866965,0.00042498112,0.4395603346836203,True,True,True,-1.4304917862328996,0.42114141733609517
1.393677,1.363621,1.8771166813822429,-0.030056,0.48343968515116376,False,True,False,-1.4304917862328996,0.42114141733609517
1.572464,1.587319,1.9167368316734208,0.014855027,0.3442728424156083,True,True,True,-1.4304917862328996,0.42114141733609517
1.557669,1.557546,1.9137266495253555,-0.00012302399,0.35605760598440095,False,True,False,-1.4304917862328996,0.42114141733609517
1.232367,1.217322,1.8353038724142414,-0.015045047,0.6029368336874348,False,True,False,-1.4304917862328996,0.42114141733609517
2.436327,2.43797,2.138160530725006,0.0016429424,-0.29816644986581453,True,False,False,-1.4304917862328996,0.42114141733609517
1.32592,1.335391,1.8571462845171702,0.009471059,0.531226298745991,True,True,True,-1.4304917862328996,0.42114141733609517
1.517784,1.514982,1.9108320063598065,-0.0028020144,0.39304800691675235,False,True,False,-1.4304917862328996,0.42114141733609517
1.542767,1.530114,1.9140765678770308,-0.012652993,0.37130951999495077,False,True,False,-1.4304917862328996,0.42114141733609517
1.508876,1.495261,1.9017431778527532,-0.013615012,0.39286721178067063,False,True,False,-1.4304917862328996,0.42114141733609517
1.582638,1.506619,1.9285782251089103,-0.07601905,0.34594019982509683,False,True,False,-1.4304917862328996,0.42114141733609517
1.397646,1.405682,1.8759461129464683,0.008036017,0.4783001626290855,True,True,True,-1.4304917862328996,0.42114141733609517
2.184376,2.20528,2.074504034530264,0.020904064,-0.10987196682776812,True,False,False,-1.4304917862328996,0.42114141733609517
1.807597,1.794831,1.9952899184775659,-0.012766004,0.18769287734749995,False,True,False,-1.4304917862328996,0.42114141733609517
1.667492,1.697344,1.958858459593534,0.029851913,0.2913664275424477,True,True,True,-1.4304917862328996,0.42114141733609517
1.408498,1.427152,1.8862229669668968,0.018653989,0.4777249181845482,True,True,True,-1.4304917862328996,0.42114141733609517
1.386918,1.375393,1.8998087269259547,-0.011524916,0.5128907782031153,False,True,False,-1.4304917862328996,0.42114141733609517
2.40363,2.436327,2.1300612535391314,0.032696962,-0.2735687646951215,True,False,False,-1.4304917862328996,0.42114141733609517
1.719309,1.726937,1.9773299212225905,0.007628083,0.25802094886388693,True,True,True,-1.4304917862328996,0.42114141733609517
1.36412,1.359261,1.8706016562473178,-0.0048589706,0.5064816496860385,False,True,False,-1.4304917862328996,0.42114141733609517
1.355299,1.357332,1.8690647109420901,0.0020329952,0.5137657149704105,True,True,True,-1.4304917862328996,0.42114141733609517
