x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
0.024566,0.024592,-0.013920224061437864,2.5998801e-05,-0.03848622438890578,True,False,False,-75.16341308411255,0.037222056918876395
0.021089,0.021227,-0.013812007819091782,0.00013799965,-0.03490100844649027,True,False,False,-75.16341308411255,0.037222056918876395
0.017868,0.017874,-0.013821306763916755,6.0014427e-06,-0.03168930591526582,True,False,False,-75.16341308411255,0.037222056918876395
0.027568,0.0275,-0.014084447889498891,-6.799959e-05,-0.041652447326950254,False,False,False,-75.16341308411255,0.037222056918876395
0.01729,0.017303,-0.013839374884609207,1.29994005e-05,-0.031129374757055267,True,False,False,-75.16341308411255,0.037222056918876395
0.017482,0.017485,-0.013823495065890368,3.0007213e-06,-0.031305494537674006,True,False,False,-75.16341308411255,0.037222056918876395
0.028558,0.028556,-0.014133826438424132,-2.000481e-06,-0.042691827360627196,False,False,False,-75.16341308411255,0.037222056918876395
0.01934,0.01926,-0.01384633110456604,-7.999875e-05,-0.03318633028857845,False,False,False,-75.16341308411255,0.037222056918876395
0.029347,0.02934,-0.01409281978488093,-6.9998205e-06,-0.043439820428491885,False,False,False,-75.16341308411255,0.037222056918876395
0.023653,0.023686,-0.013860233421639681,3.299862e-05,-0.037513234014825106,True,False,False,-75.16341308411255,0.037222056918876395
0.027713,0.027691,-0.014129336156528949,-2.2001565e-05,-0.041842336930912494,False,False,False,-75.16341308411255,0.037222056918876395
0.023219,0.023236,-0.013840925539812268,1.7000362e-05,-0.03705992608793658,True,False,False,-75.16341308411255,0.037222056918876395
0.027691,0.027722,-0.014137287209224192,3.1000003e-05,-0.04182828641910502,True,False,False,-75.16341308411255,0.037222056918876395
0.026748,0.026719,-0.01410829659740205,-2.8999522e-05,-0.04085629631022687,False,False,False,-75.16341308411255,0.037222056918876395
0.018784,0.018762,-0.013850845570421391,-2.1999702e-05,-0.032634845177388364,False,False,False,-75.16341308411255,0.037222056918876395
0.02517,0.025185,-0.013998726024090316,1.4999881e-05,-0.03916872629409936,True,False,False,-75.16341308411255,0.037222056918876395
0.019966,0.01999,-0.013808134470182712,2.4000183e-05,-0.03377413516123896,True,False,False,-75.16341308411255,0.037222056918876395
0.017485,0.017496,-0.01382459625905881,1.099892e-05,-0.03130959645217786,True,False,False,-75.16341308411255,0.037222056918876395
0.02325,0.023263,-0.013844962198897179,1.29994005e-05,-0.03709496275024014,True,False,False,-75.16341308411255,0.037222056918876395
0.024838,0.024902,-0.013949711087825764,6.3998625e-05,-0.03878771162379073,True,False,False,-75.16341308411255,0.037222056918876395
0.019888,0.019812,-0.013853208947698578,-7.599965e-05,-0.033741209510485634,False,False,False,-75.16341308411255,0.037222056918876395
0.020703,0.020712,-0.013870222804453464,9.000301e-06,-0.034573221889641376,True,False,False,-75.16341308411255,0.037222056918876395
0.019142,0.019064,-0.013852712951949175,-7.800013e-05,-0.03299471295659834,False,False,False,-75.16341308411255,0.037222056918876395
0.018852,0.018894,-0.013856447496572138,4.2000785e-05,-0.032708446690002085,True,False,False,-75.16341308411255,0.037222056918876395
0.022939,0.022951,-0.01383341088074927,1.199916e-05,-0.03677241115946059,True,False,False,-75.16341308411255,0.037222056918876395
0.026641,0.026575,-0.014144975609600235,-6.600097e-05,-0.040785975671827485,False,False,False,-75.16341308411255,0.037222056918876395
0.019027,0.018977,-0.013840002062121895,-5.0000846e-05,-0.03286700235525754,False,False,False,-75.16341308411255,0.037222056918876395
0.024914,0.024953,-0.013960549756739798,3.9000064e-05,-0.038874549940083686,True,False,False,-75.16341308411255,0.037222056918876395
0.0199,0.019885,-0.013857308656952186,-1.4999881e-05,-0.03375730837979059,False,False,False,-75.16341308411255,0.037222056918876395
0.027553,0.027588,-0.014125121998467285,3.5000965e-05,-0.04167812155453189,True,False,False,-75.16341308411255,0.037222056918876395
0.028008,0.028029,-0.01416331149329686,2.0999461e-05,-0.042171312418480156,True,False,False,-75.16341308411255,0.037222056918876395
0.020262,0.020304,-0.013826991714344358,4.2000785e-05,-0.03408899093400035,True,False,False,-75.16341308411255,0.037222056918876395
0.030301,0.030331,-0.014074141038022,2.9999763e-05,-0.04437514196094032,True,False,False,-75.16341308411255,0.037222056918876395
0.026646,0.026639,-0.014018522425163896,-6.9998205e-06,-0.04066452182697168,False,False,False,-75.16341308411255,0.037222056918876395
0.018947,0.018995,-0.013874106477891154,4.8000365e-05,-0.03282110616186733,True,False,False,-75.16341308411255,0.037222056918876395
