x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
18.59436,18.630379,209.0498426925385,0.03601837,190.455482340976,True,True,True,-4343.505464416927,187.44901422473828
16.118607,16.111746,184.20686341635528,-0.006860733,168.08825684897246,False,True,False,-4343.505464416927,187.44901422473828
14.900072,14.911498,172.78993053601206,0.011425972,157.88985843823374,True,True,True,-4343.505464416927,187.44901422473828
21.378843,21.36589,241.42157457913575,-0.012952805,220.04273127164063,False,True,False,-4343.505464416927,187.44901422473828
14.641886,14.652719,170.4310431214386,0.010832787,155.7891573639923,True,True,True,-4343.505464416927,187.44901422473828
14.551582,14.493273,170.26646465619794,-0.058309555,155.71488231977216,False,True,False,-4343.505464416927,187.44901422473828
21.271404,21.278032,246.83020047921556,0.0066280365,225.55879621285814,True,True,True,-4343.505464416927,187.44901422473828
14.393215,14.033841,171.3462319080608,-0.35937405,156.95301672861743,False,True,False,-4343.505464416927,187.44901422473828
21.644234,21.645206,248.43892689659717,0.0009727478,226.79469319298389,True,True,True,-4343.505464416927,187.44901422473828
17.351646,17.351732,194.9009925188206,8.583069e-05,177.54934609548076,True,True,True,-4343.505464416927,187.44901422473828
21.71809,21.74689,246.62037172112895,0.028799057,224.9022816637559,True,True,True,-4343.505464416927,187.44901422473828
16.336782,16.366146,188.87477548040349,0.029363632,172.53799302495915,True,True,True,-4343.505464416927,187.44901422473828
21.74689,21.738138,246.85291724515665,-0.0087509155,225.10602813077676,False,True,False,-4343.505464416927,187.44901422473828
20.455477,20.445702,235.1245214526335,-0.009775162,214.66904469176924,False,True,False,-4343.505464416927,187.44901422473828
14.969001,14.913032,175.55799971523774,-0.05596924,160.58899889889253,False,True,False,-4343.505464416927,187.44901422473828
19.450584,19.577755,219.48972563602155,0.12717056,200.03914122440045,True,True,True,-4343.505464416927,187.44901422473828
14.623465,14.641326,170.01941334851992,0.017861366,155.39594876416933,True,True,True,-4343.505464416927,187.44901422473828
14.493273,14.484495,170.04042448268362,-0.008777618,155.54715170131155,False,True,False,-4343.505464416927,187.44901422473828
16.390162,16.404596,189.09975933009093,0.014434814,172.7095978158087,True,True,True,-4343.505464416927,187.44901422473828
19.062086,19.097704,213.89751480928842,0.03561783,194.83542870394174,True,True,True,-4343.505464416927,187.44901422473828
14.786615,14.897399,171.13610296521165,0.11078358,156.34948759350755,True,True,True,-4343.505464416927,187.44901422473828
15.935705,15.929355,182.856326410506,-0.0063505173,166.92062122556948,False,True,False,-4343.505464416927,187.44901422473828
14.897698,14.789885,174.4949399706096,-0.107813835,159.59724156820482,False,True,False,-4343.505464416927,187.44901422473828
14.931851,14.96844,175.08702118082468,0.03658867,160.15516979380075,True,True,True,-4343.505464416927,187.44901422473828
16.16389,16.071362,188.37360199409065,-0.0925293,172.2097111554676,False,True,False,-4343.505464416927,187.44901422473828
20.420382,20.274305,235.10671995196466,-0.1460762,214.68633840594416,False,True,False,-4343.505464416927,187.44901422473828
14.978252,14.962494,175.09039253824176,-0.015758514,160.1121401273531,False,True,False,-4343.505464416927,187.44901422473828
19.255402,19.289082,215.77373590150737,0.033679962,196.51833429017924,True,True,True,-4343.505464416927,187.44901422473828
14.99179,15.060791,172.04318777569347,0.0690012,157.0513979578834,True,True,True,-4343.505464416927,187.44901422473828
21.587336,21.592764,244.3025288777013,0.005428314,222.71519329115344,True,True,True,-4343.505464416927,187.44901422473828
21.71979,21.72411,249.3287644820402,0.0043201447,227.60897497703533,True,True,True,-4343.505464416927,187.44901422473828
15.511085,15.530039,175.84893447457105,0.018954277,160.33784991799146,True,True,True,-4343.505464416927,187.44901422473828
21.838188,21.845755,251.01299637369814,0.007566452,229.17480820231143,True,True,True,-4343.505464416927,187.44901422473828
20.745392,20.735588,233.63561058169256,-0.009803772,212.89021873598944,False,True,False,-4343.505464416927,187.44901422473828
14.904764,14.921831,174.5619312618337,0.017066956,159.65716708641867,True,True,True,-4343.505464416927,187.44901422473828
20.72844,20.71543,234.8508302677329,-0.013010025,214.12239093667822,False,True,False,-4343.505464416927,187.44901422473828
17.428604,17.422113,197.39458423901638,-0.0064907074,179.96598011303982,False,True,False,-4343.505464416927,187.44901422473828
21.23411,21.20062,247.61117997668114,-0.033489227,226.3770700981411,False,True,False,-4343.505464416927,187.44901422473828
15.037287,15.020618,176.12198802570865,-0.01666832,161.0847012672858,False,True,False,-4343.505464416927,187.44901422473828
14.631789,14.635084,170.58231510277184,0.0032949448,155.95052589531335,True,True,True,-4343.505464416927,187.44901422473828
21.832035,21.85422,249.80229799045736,0.022184372,227.9702629257601,True,True,True,-4343.505464416927,187.44901422473828
14.682779,14.685279,170.6849869888163,0.0024995804,156.0022076766825,True,True,True,-4343.505464416927,187.44901422473828
15.127603,15.128434,175.17534531411883,0.000831604,160.04774273690936,True,True,True,-4343.505464416927,187.44901422473828
14.965582,14.969001,175.59240350886805,0.0034189224,160.62682161494715,True,True,True,-4343.505464416927,187.44901422473828
21.61147,21.49614,249.19648041530783,-0.11532974,227.585011146509,False,True,False,-4343.505464416927,187.44901422473828
15.175062,15.389205,173.2287975131813,0.2141428,158.05373533361586,True,True,True,-4343.505464416927,187.44901422473828
20.1803,20.183977,229.15777521909854,0.0036773682,208.9774754601874,True,True,True,-4343.505464416927,187.44901422473828
20.574223,20.59009,234.89992860971097,0.015867233,214.3257060450137,True,True,True,-4343.505464416927,187.44901422473828
21.483482,21.476696,247.17334983807592,-0.0067863464,225.68986747723608,False,True,False,-4343.505464416927,187.44901422473828
21.466656,21.482355,247.02171040509492,0.015699387,225.55505467389375,True,True,True,-4343.505464416927,187.44901422473828
14.616411,14.613957,170.6295378150032,-0.002453804,156.01312660589676,False,True,False,-4343.505464416927,187.44901422473828
14.403368,14.427438,169.53251676211576,0.024069786,155.12914876589994,True,True,True,-4343.505464416927,187.44901422473828
21.278032,21.328444,246.79008285094457,0.050411224,225.51205054808813,True,True,True,-4343.505464416927,187.44901422473828
21.881907,21.893833,251.43376413088274,0.011926651,229.55185762148332,True,True,True,-4343.505464416927,187.44901422473828
15.017791,15.000936,176.11927695109748,-0.01685524,161.10148615672492,False,True,False,-4343.505464416927,187.44901422473828
20.453714,20.53148,236.08735339247872,0.07776642,215.63363902175118,True,True,True,-4343.505464416927,187.44901422473828
17.991507,17.988562,205.65605633420705,-0.0029449463,187.66454975766896,False,True,False,-4343.505464416927,187.44901422473828
16.306269,16.280397,189.3514835926952,-0.025871277,173.0452149006786,False,True,False,-4343.505464416927,187.44901422473828
16.273977,16.346283,185.85761100172195,0.07230568,169.58363372205886,True,True,True,-4343.505464416927,187.44901422473828
20.47592,21.123447,236.21268358191188,0.6475277,215.73676385840113,True,True,True,-4343.505464416927,187.44901422473828
15.054147,15.044943,173.95857245541367,-0.009203911,158.90442568875108,False,True,False,-4343.505464416927,187.44901422473828
16.199228,16.160128,188.69101694950575,-0.039100647,172.4917886627626,False,True,False,-4343.505464416927,187.44901422473828
21.72411,21.74645,249.37153980349925,0.022340775,227.64743015384104,True,True,True,-4343.505464416927,187.44901422473828
22.028194,22.037704,252.26092463837668,0.00951004,230.23273021088644,True,True,True,-4343.505464416927,187.44901422473828
19.577755,19.64529,220.1405175025494,0.0675354,200.56276252818415,True,True,True,-4343.505464416927,187.44901422473828
15.685314,15.674462,179.71104552943822,-0.01085186,164.02573135097143,False,True,False,-4343.505464416927,187.44901422473828
16.42862,16.431099,187.82787937371384,0.0024795532,171.39925998894822,True,True,True,-4343.505464416927,187.44901422473828
20.607182,20.669308,236.35157017383656,0.06212616,215.7443886247643,True,True,True,-4343.505464416927,187.44901422473828
14.141234,14.224618,169.7072169837286,0.08338356,155.56598258584043,True,True,True,-4343.505464416927,187.44901422473828
14.935546,14.911661,175.33927122038276,-0.023884773,160.40372529905707,False,True,False,-4343.505464416927,187.44901422473828
14.714617,14.730056,170.97206868103743,0.0154390335,156.25745190552473,True,True,True,-4343.505464416927,187.44901422473828
21.328444,21.372519,246.91679920557638,0.044075012,225.5883556783547,True,True,True,-4343.505464416927,187.44901422473828
14.546173,14.560363,170.26454730985523,0.01418972,155.7183742141521,True,True,True,-4343.505464416927,187.44901422473828
