x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
161.51953,161.60826,13606.117839794204,0.08872986,13444.598308544204,True,True,True,-319169.4335079025,12809.258566196626
142.14116,142.23883,12011.042890139917,0.09767151,11868.9017310823,True,True,True,-319169.4335079025,12809.258566196626
122.00399,122.04458,10421.888590280587,0.04058838,10299.884600107247,True,True,True,-319169.4335079025,12809.258566196626
175.25375,175.35797,14967.209777468694,0.10421753,14791.956023806584,True,True,True,-319169.4335079025,12809.258566196626
118.20034,118.30788,10126.070269543967,0.107536316,10007.86992927297,True,True,True,-319169.4335079025,12809.258566196626
119.58152,119.609764,10223.985997941518,0.028244019,10104.404477860951,True,True,True,-319169.4335079025,12809.258566196626
178.56796,178.61115,15324.520366539558,0.043182373,15145.952403893074,True,True,True,-319169.4335079025,12809.258566196626
131.27785,131.53777,11176.514503895343,0.2599182,11045.236656605304,True,True,True,-319169.4335079025,12809.258566196626
180.77841,180.79167,15495.417760795966,0.013259888,15314.639348930732,True,True,True,-319169.4335079025,12809.258566196626
155.15175,155.22417,13064.2198784463,0.07241821,12909.068129789073,True,True,True,-319169.4335079025,12809.258566196626
176.25438,176.27454,15091.048824390722,0.02015686,14914.794445118261,True,True,True,-319169.4335079025,12809.258566196626
152.03764,152.112,12837.42042894562,0.07435608,12685.382785513002,True,True,True,-319169.4335079025,12809.258566196626
176.27454,176.34064,15095.580476068857,0.066101074,14919.305939936045,True,True,True,-319169.4335079025,12809.258566196626
171.70879,171.76196,14644.973196312456,0.05317688,14473.264410301714,True,True,True,-319169.4335079025,12809.258566196626
127.5042,127.54412,10893.294079308605,0.039916992,10765.789875512219,True,True,True,-319169.4335079025,12809.258566196626
165.695,165.80717,14004.709401461763,0.11216736,13839.014394137545,True,True,True,-319169.4335079025,12809.258566196626
134.28906,134.36287,11401.353071330353,0.07380676,11267.064008830353,True,True,True,-319169.4335079025,12809.258566196626
119.609764,119.64529,10227.74906798965,0.03552246,10108.139303890528,True,True,True,-319169.4335079025,12809.258566196626
152.20685,152.28792,12855.714831083054,0.08106995,12703.507982938523,True,True,True,-319169.4335079025,12809.258566196626
163.3763,163.5781,13781.411634586306,0.20179749,13618.035337589235,True,True,True,-319169.4335079025,12809.258566196626
135.21976,135.57318,11466.553965461857,0.35342407,11331.334208381779,True,True,True,-319169.4335079025,12809.258566196626
141.36176,141.42645,11947.613665778621,0.064697266,11806.251910407527,True,True,True,-319169.4335079025,12809.258566196626
129.85611,129.88138,11079.858023731647,0.025268555,10950.001914112507,True,True,True,-319169.4335079025,12809.258566196626
128.11696,128.16574,10939.709814952783,0.04878235,10811.592856334619,True,True,True,-319169.4335079025,12809.258566196626
150.39859,150.4503,12710.884582604689,0.051712036,12560.485992516798,True,True,True,-319169.4335079025,12809.258566196626
171.82571,171.86562,14662.52613169657,0.039901733,14490.700417585242,True,True,True,-319169.4335079025,12809.258566196626
128.76115,128.80443,10988.03633193414,0.043273926,10859.275177759335,True,True,True,-319169.4335079025,12809.258566196626
163.94205,164.18225,13833.261054593599,0.24020386,13669.319007474458,True,True,True,-319169.4335079025,12809.258566196626
135.68997,135.8103,11488.98376234598,0.12033081,11353.293790422153,True,True,True,-319169.4335079025,12809.258566196626
176.00298,176.11482,15043.415049212976,0.111846924,14867.412073749108,True,True,True,-319169.4335079025,12809.258566196626
177.53554,177.57697,15216.106544616356,0.041427612,15038.57100689663,True,True,True,-319169.4335079025,12809.258566196626
137.44334,137.74342,11608.55578902584,0.30007935,11471.11244490963,True,True,True,-319169.4335079025,12809.258566196626
183.90852,183.96909,15749.462022059975,0.060562134,15565.553498500405,True,True,True,-319169.4335079025,12809.258566196626
170.86935,170.88268,14515.276840166132,0.013320923,14344.407485918086,True,True,True,-319169.4335079025,12809.258566196626
129.24655,129.40317,11029.889842947741,0.15661621,10900.64329143407,True,True,True,-319169.4335079025,12809.258566196626
171.1511,171.28029,14568.0485350957,0.12919617,14396.897442566404,True,True,True,-319169.4335079025,12809.258566196626
156.43503,156.51675,13179.567030770615,0.081726074,13023.132002694443,True,True,True,-319169.4335079025,12809.258566196626
178.05923,178.0627,15277.060456587811,0.0034637451,15099.00122196867,True,True,True,-319169.4335079025,12809.258566196626
126.75441,126.86973,10829.138788155751,0.1153183,10702.384378365712,True,True,True,-319169.4335079025,12809.258566196626
117.81519,117.850136,10167.656846321952,0.034942627,10049.841653145682,True,True,True,-319169.4335079025,12809.258566196626
182.26999,182.41832,15621.016291337362,0.14833069,15438.74630232369,True,True,True,-319169.4335079025,12809.258566196626
120.17381,120.21262,10274.820019867171,0.03881073,10154.64620700096,True,True,True,-319169.4335079025,12809.258566196626
123.47834,123.518684,10549.312830834902,0.04034424,10425.834490685977,True,True,True,-319169.4335079025,12809.258566196626
127.46459,127.5042,10888.834596247085,0.039611816,10761.370004267104,True,True,True,-319169.4335079025,12809.258566196626
178.0624,178.07854,15262.998332613462,0.016143799,15084.935939424986,True,True,True,-319169.4335079025,12809.258566196626
136.3207,136.561,11528.993768631373,0.24031067,11392.673074661647,True,True,True,-319169.4335079025,12809.258566196626
169.23288,169.28448,14373.04223529985,0.051605225,14203.809355661178,True,True,True,-319169.4335079025,12809.258566196626
171.30219,171.45204,14598.848684329172,0.14985657,14427.546499270578,True,True,True,-319169.4335079025,12809.258566196626
179.14467,179.18553,15367.21893957655,0.040863037,15188.07427099745,True,True,True,-319169.4335079025,12809.258566196626
179.22594,179.26927,15375.83042706704,0.04333496,15196.604490177391,True,True,True,-319169.4335079025,12809.258566196626
117.430954,117.46492,10197.783021601452,0.033966064,10080.35206762196,True,True,True,-319169.4335079025,12809.258566196626
132.4089,132.60078,11272.867244472034,0.19187927,11140.458339442737,True,True,True,-319169.4335079025,12809.258566196626
