x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
1.185171,1.180133,1.1889395,-0.005038023,0.003768444,False,True,False,0.994569428568305,0.010862305
0.991747,0.999887,0.99313307,0.008139968,0.0013860464,True,True,True,0.994569428568305,0.010862305
1.292531,1.283145,1.2837393,-0.009386063,-0.008791685,False,False,False,0.994569428568305,0.010862305
1.392782,1.391154,1.3851328,-0.001627922,-0.0076491833,False,False,False,0.994569428568305,0.010862305
1.012428,1.014963,1.0125146,0.0025349855,8.6545944e-05,True,True,True,0.994569428568305,0.010862305
1.390878,1.391193,1.3802161,0.00031507015,-0.01066184,True,False,False,0.994569428568305,0.010862305
1.011339,1.008023,1.0055087,-0.0033159256,-0.005830288,False,False,False,0.994569428568305,0.010862305
1.014963,1.016645,1.0147192,0.0016819239,-0.000243783,True,False,False,0.994569428568305,0.010862305
1.227458,1.230962,1.2254932,0.0035040379,-0.0019648075,True,False,False,0.994569428568305,0.010862305
1.075606,1.077185,1.0805641,0.0015790462,0.004958153,True,True,True,0.994569428568305,0.010862305
1.016261,1.016979,1.0207491,0.00071799755,0.0044881105,True,True,True,0.994569428568305,0.010862305
1.295815,1.30098,1.2821022,0.005164981,-0.013712764,True,False,False,0.994569428568305,0.010862305
1.167421,1.177333,1.1712842,0.009912014,0.0038632154,True,True,True,0.994569428568305,0.010862305
1.316643,1.315697,1.3126018,-0.0009460449,-0.004041195,False,False,False,0.994569428568305,0.010862305
1.070027,1.071285,1.0746613,0.0012580156,0.004634261,True,True,True,0.994569428568305,0.010862305
1.078244,1.077176,1.0831764,-0.001067996,0.0049324036,False,True,False,0.994569428568305,0.010862305
1.145356,1.14863,1.1520439,0.003273964,0.0066878796,True,True,True,0.994569428568305,0.010862305
1.001544,1.016993,1.0299339,0.015449047,0.02838993,True,True,True,0.994569428568305,0.010862305
1.093425,1.095242,1.0980083,0.001816988,0.0045832396,True,True,True,0.994569428568305,0.010862305
1.334624,1.350913,1.3579385,0.016288996,0.023314476,True,True,True,0.994569428568305,0.010862305
1.095242,1.098468,1.0996577,0.0032259226,0.0044156313,True,True,True,0.994569428568305,0.010862305
1.188816,1.187074,1.1942056,-0.0017420053,0.0053896904,False,True,False,0.994569428568305,0.010862305
1.200881,1.203681,1.204466,0.0027999878,0.003584981,True,True,True,0.994569428568305,0.010862305
0.991354,0.992723,0.9919433,0.0013689995,0.0005893111,True,True,True,0.994569428568305,0.010862305
1.409885,1.41852,1.4158607,0.008634925,0.005975604,True,True,True,0.994569428568305,0.010862305
1.187359,1.184515,1.1898571,-0.002843976,0.0024981499,False,True,False,0.994569428568305,0.010862305
1.09374,1.088036,1.1003773,-0.0057040453,0.006637335,False,True,False,0.994569428568305,0.010862305
1.385279,1.382166,1.3944299,-0.0031130314,0.009150863,False,True,False,0.994569428568305,0.010862305
1.004155,0.996329,1.0007632,-0.00782603,-0.003391862,False,False,False,0.994569428568305,0.010862305
1.013148,1.009443,1.0174458,-0.0037049055,0.0042978525,False,True,False,0.994569428568305,0.010862305
1.298409,1.298694,1.2918886,0.0002850294,-0.0065203905,True,False,False,0.994569428568305,0.010862305
0.968063,0.985733,0.9728836,0.017669976,0.0048205853,True,True,True,0.994569428568305,0.010862305
