x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
0.630724,0.631676,0.6266911,0.0009520054,-0.00403291,True,False,False,0.9962195760542735,0.005424687
0.557805,0.558567,0.5562734,0.0007619858,-0.001531601,True,False,False,0.9962195760542735,0.005424687
0.520608,0.521967,0.51798177,0.0013589859,-0.0026262403,True,False,False,0.9962195760542735,0.005424687
0.704517,0.703801,0.6978976,-0.0007160306,-0.006619394,False,False,False,0.9962195760542735,0.005424687
0.496659,0.497598,0.49627092,0.0009389818,-0.00038808584,True,False,False,0.9962195760542735,0.005424687
0.496027,0.496803,0.49905342,0.00077599287,0.0030264258,True,True,True,0.9962195760542735,0.005424687
0.714315,0.716566,0.72057194,0.002251029,0.006256938,True,True,True,0.9962195760542735,0.005424687
0.516502,0.516215,0.5245066,-0.00028699636,0.008004606,False,True,False,0.9962195760542735,0.005424687
0.731842,0.731003,0.7313827,-0.000838995,-0.0004592538,False,False,False,0.9962195760542735,0.005424687
0.601255,0.600585,0.59619516,-0.0006700158,-0.0050598383,False,False,False,0.9962195760542735,0.005424687
0.718881,0.717586,0.7146905,-0.0012950301,-0.0041905046,False,False,False,0.9962195760542735,0.005424687
0.574731,0.575697,0.5804664,0.0009660125,0.0057353973,True,True,True,0.9962195760542735,0.005424687
0.717586,0.71639,0.7145395,-0.0011959672,-0.003046453,False,False,False,0.9962195760542735,0.005424687
0.698132,0.696217,0.69830155,-0.001914978,0.00016957521,False,True,False,0.9962195760542735,0.005424687
0.516807,0.515176,0.52684736,-0.0016310215,0.010040343,False,True,False,0.9962195760542735,0.005424687
0.647482,0.648097,0.64637923,0.0006150007,-0.0011027455,True,False,False,0.9962195760542735,0.005424687
0.537215,0.537992,0.53583443,0.00077700615,-0.0013805628,True,False,False,0.9962195760542735,0.005424687
0.496803,0.496895,0.49947375,9.199977e-05,0.002670765,True,True,True,0.9962195760542735,0.005424687
0.576628,0.577999,0.58133626,0.0013709664,0.0047082305,True,True,True,0.9962195760542735,0.005424687
0.640868,0.642223,0.6370645,0.0013549924,-0.0038034916,True,False,False,0.9962195760542735,0.005424687
0.532486,0.532185,0.535001,-0.00030100346,0.0025149584,False,True,False,0.9962195760542735,0.005424687
0.550507,0.551798,0.5513093,0.001290977,0.0008022785,True,True,True,0.9962195760542735,0.005424687
