"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"HDH","HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-6,0963","64,6892","293,5710","23,5713","650,3759","-","-"
"HPF","HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİS.SEN.YOĞ.FON)","Serbest Şemsiye Fonu","-5,1645","26,8939","153,5498","9,7469","359,6647","856,3166","-"
"TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","Değişken Şemsiye Fonu","6,2133","39,2653","111,4657","13,6893","158,0316","462,0728","601,1278"
"FYA","İSTANBUL PORTFÖY ARK II SERBEST FON","Serbest Şemsiye Fonu","3,8388","24,7694","52,2228","8,5038","153,2772","-","-"
"OPH","OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","4,3218","38,2135","90,3669","19,1829","123,3914","-","-"
"GMR","GEDİK PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,6496","29,7285","72,9481","14,6803","114,9689","227,6547","423,5077"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,9520","17,8832","74,7266","10,6525","112,1734","-","-"
"TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,1434","16,2690","58,2201","5,9180","111,4912","306,5760","565,9709"
"OPI","OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,6870","34,8783","76,3117","14,6934","108,1594","-","-"
"MPS","MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","1,3623","25,5947","55,4678","12,7543","106,4241","173,8856","-"
"SRY","AZİMUT PORTFÖY SKY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","73,3415","54,1473","66,6023","59,0423","101,8245","-","-"
"IAR","İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","1,2275","36,5186","52,1209","21,8429","99,6026","-","-"
